SURVEY: SDSS   
SNID:   50088   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -3.170832  deg 
DECL:    -0.297632  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0410    MW E(B-V) 
MWEBV_ERR:   0.0066    error on MWEBV 
REDSHIFT_HELIO:   0.129844 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.128475 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53664.219 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  231  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.13068  
SIM_REDSHIFT_CMB:    0.12931  
SIM_REDSHIFT_HOST:   0.13068  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.9178  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -3.170832 deg  
SIM_DECL:      -0.297632 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0350   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.70  20.65  20.37  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53665.265625  days 
SIM_SALT2x0:   2.7093e-16   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2441  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -8.86   days 
SIM_TRESTMAX:    35.32   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.905329 
SIMSED_param(color):  0.444161 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 39 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53655.242  g  82S   6.7258e+01   3.953e+01    0  28.560    2.12  23.6223 
OBS:  53655.242  r  82S   8.5192e+00   4.850e+01    0  28.270    2.06  22.8042 
OBS:  53655.242  i  82S   1.7530e+02   5.873e+01    0  27.970    1.90  22.5517 
OBS:  53664.266  g  82S   2.1452e+02   4.645e+01    0  28.550    1.52  21.6910 
OBS:  53664.266  r  82S   5.8718e+02   4.573e+01    0  28.250    1.27  20.7015 
OBS:  53664.266  i  82S   5.7077e+02   9.365e+01    0  27.960    1.26  20.4332 
OBS:  53666.230  g  82S   2.2989e+02   1.709e+01    0  28.570    1.00  21.7256 
OBS:  53666.230  r  82S   5.5637e+02   2.357e+01    0  28.260    0.93  20.6167 
OBS:  53666.230  i  82S   7.5042e+02   3.537e+01    0  27.970    0.94  20.3282 
OBS:  53669.227  g  82S   1.7322e+02   1.328e+01    0  28.560    1.03  21.9480 
OBS:  53669.227  r  82S   5.8562e+02   2.125e+01    0  28.250    0.88  20.6147 
OBS:  53669.227  i  82S   7.6878e+02   3.174e+01    0  27.980    0.82  20.2906 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53669.2270 
OBS:  53671.309  g  82S   1.1415e+02   1.736e+01    0  28.420    1.43  22.2451 
OBS:  53671.309  r  82S   4.9710e+02   2.785e+01    0  28.180    1.38  20.7190 
OBS:  53671.309  i  82S   6.6023e+02   4.222e+01    0  27.920    1.39  20.3550 
OBS:  53674.211  g  82S   7.2418e+01   1.430e+01    0  28.530    1.38  22.7386 
OBS:  53674.211  r  82S   4.1132e+02   2.547e+01    0  28.240    1.39  20.9690 
OBS:  53674.211  i  82S   6.5733e+02   3.493e+01    0  27.960    1.15  20.5042 
OBS:  53676.301  g  82S   6.5768e+01   1.428e+01    0  28.470    1.15  23.0778 
OBS:  53676.301  r  82S   3.4913e+02   2.347e+01    0  28.220    1.07  21.1901 
OBS:  53676.301  i  82S   5.5859e+02   3.410e+01    0  27.950    1.02  20.6356 
OBS:  53679.270  g  82S   3.4987e+01   1.566e+01    0  28.520    1.56  23.2763 
OBS:  53679.270  r  82S   2.4606e+02   2.637e+01    0  28.230    1.37  21.3989 
OBS:  53679.270  i  82S   4.6514e+02   4.073e+01    0  27.950    1.38  20.8391 
OBS:  53681.262  g  82S   5.8570e+01   1.320e+01    0  28.520    1.02  23.4024 
OBS:  53681.262  r  82S   2.4758e+02   2.132e+01    0  28.230    0.90  21.5353 
OBS:  53681.262  i  82S   3.7381e+02   3.031e+01    0  27.950    0.83  20.9782 
OBS:  53685.223  g  82S   1.8740e+02   6.776e+01    0  28.550    1.76  23.6587 
OBS:  53685.223  r  82S   2.3648e+02   1.199e+02    0  28.250    1.67  21.8058 
OBS:  53685.223  i  82S   3.7259e+02   1.356e+02    0  27.960    1.54  21.2607 
OBS:  53697.219  g  82S   2.2052e+01   1.396e+01    0  28.520    1.15  24.3741 
OBS:  53697.219  r  82S   1.4275e+02   2.492e+01    0  28.230    1.12  22.5618 
OBS:  53697.219  i  82S   7.7619e+01   3.205e+01    0  27.950    1.02  22.0811 
OBS:  53700.219  g  82S   5.8265e+00   1.489e+01    0  28.470    1.42  24.4712 
OBS:  53700.219  r  82S   9.9916e+01   2.520e+01    0  28.210    1.42  22.6737 
OBS:  53700.219  i  82S   1.7703e+02   3.623e+01    0  27.930    1.23  22.2439 
OBS:  53705.203  g  82S   2.2967e+01   1.440e+01    0  28.500    1.36  24.5888 
OBS:  53705.203  r  82S   1.1482e+02   2.329e+01    0  28.220    1.34  22.8455 
OBS:  53705.203  i  82S   9.1855e+01   3.266e+01    0  27.960    1.23  22.4907 
END_PHOTOMETRY: 
