SURVEY: SDSS   
SNID:   50335   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -2.413291  deg 
DECL:    0.556993  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0290    MW E(B-V) 
MWEBV_ERR:   0.0046    error on MWEBV 
REDSHIFT_HELIO:   0.119388 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.118032 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53619.297 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  911  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.11961  
SIM_REDSHIFT_CMB:    0.11825  
SIM_REDSHIFT_HOST:   0.11961  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.7082  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -2.413291 deg  
SIM_DECL:      0.556993 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0225   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.54  20.41  20.13  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53619.824219  days 
SIM_SALT2x0:   3.2865e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2750  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     2.23   days 
SIM_TRESTMAX:    76.26   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.987048 
SIMSED_param(color):  0.546310 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 54 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53622.316  g  82S   2.1727e+02   1.822e+01    0  28.340    1.57  21.6445 
OBS:  53622.316  r  82S   7.2329e+02   2.594e+01    0  28.190    1.43  20.3490 
OBS:  53622.316  i  82S   9.8155e+02   4.188e+01    0  27.850    1.28  20.0400 
OBS:  53627.273  g  82S   9.7754e+01   2.735e+01    0  28.410    1.31  22.3339 
OBS:  53627.273  r  82S   5.6027e+02   2.961e+01    0  28.240    1.23  20.5933 
OBS:  53627.273  i  82S   9.2894e+02   4.397e+01    0  27.870    1.27  20.1839 
OBS:  53634.266  g  82S   1.0705e+02   4.432e+01    0  28.480    1.73  23.1496 
OBS:  53634.266  r  82S   3.2696e+02   4.612e+01    0  28.270    1.73  21.1925 
OBS:  53634.266  i  82S   5.0744e+02   5.709e+01    0  27.930    1.60  20.6266 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53634.2660 
OBS:  53638.309  g  82S   4.9372e+01   1.736e+01    0  28.450    1.16  23.4128 
OBS:  53638.309  r  82S   2.5387e+02   2.311e+01    0  28.250    1.10  21.4727 
OBS:  53638.309  i  82S   3.3796e+02   3.398e+01    0  27.900    0.96  20.9157 
OBS:  53640.270  g  82S   4.5959e+01   2.962e+01    0  27.890    1.90  23.5396 
OBS:  53640.270  r  82S   3.0129e+02   1.608e+02    0  26.770    1.96  21.6083 
OBS:  53640.270  i  82S  -2.0019e+03   2.433e+03    0  23.620    1.89  21.0544 
OBS:  53655.242  g  82S  -2.7458e+01   3.777e+01    0  28.450    2.01  24.3503 
OBS:  53655.242  r  82S   1.5497e+02   5.055e+01    0  28.260    2.09  22.4653 
OBS:  53655.242  i  82S   1.5942e+02   6.018e+01    0  27.920    1.93  22.0416 
OBS:  53664.270  g  82S   4.6154e+01   5.622e+01    0  28.470    1.47  24.5367 
OBS:  53664.270  r  82S  -6.4785e+00   5.913e+01    0  28.250    1.49  22.7680 
OBS:  53664.270  i  82S   4.0411e+01   1.308e+02    0  27.920    1.44  22.4967 
OBS:  53666.230  g  82S   4.7273e+01   1.750e+01    0  28.470    1.05  24.5927 
OBS:  53666.230  r  82S   8.7168e+01   2.348e+01    0  28.260    1.04  22.8343 
OBS:  53666.230  i  82S   6.0391e+01   3.474e+01    0  27.910    0.96  22.5777 
OBS:  53669.227  g  82S   1.6795e+01   1.274e+01    0  28.450    1.01  24.6622 
OBS:  53669.227  r  82S   7.4651e+01   2.086e+01    0  28.260    1.04  22.9261 
OBS:  53669.227  i  82S   8.3576e+01   3.267e+01    0  27.920    0.93  22.6661 
OBS:  53671.312  g  82S  -1.5468e+00   1.762e+01    0  28.340    1.54  24.6987 
OBS:  53671.312  r  82S   6.8168e+01   2.929e+01    0  28.170    1.52  22.9808 
OBS:  53671.312  i  82S   3.4899e+01   4.030e+01    0  27.860    1.30  22.7234 
OBS:  53674.211  g  82S   2.7306e+01   1.454e+01    0  28.420    1.39  24.7589 
OBS:  53674.211  r  82S   8.2373e+01   2.338e+01    0  28.240    1.38  23.0565 
OBS:  53674.211  i  82S   5.0375e+01   3.654e+01    0  27.900    1.31  22.8041 
OBS:  53676.301  g  82S   2.6884e+01   1.406e+01    0  28.370    1.09  24.7992 
OBS:  53676.301  r  82S   5.0100e+01   2.286e+01    0  28.210    1.19  23.1111 
OBS:  53676.301  i  82S   7.2413e+01   3.194e+01    0  27.900    0.96  22.8622 
OBS:  53679.273  g  82S   4.8015e+00   1.610e+01    0  28.410    1.58  24.8575 
OBS:  53679.273  r  82S   4.4291e+01   2.873e+01    0  28.220    1.60  23.1888 
OBS:  53679.273  i  82S   1.3555e+02   4.419e+01    0  27.910    1.52  22.9448 
OBS:  53681.266  g  82S   4.6508e+01   1.379e+01    0  28.420    1.11  24.8958 
OBS:  53681.266  r  82S   1.5063e+01   2.163e+01    0  28.220    1.03  23.2400 
OBS:  53681.266  i  82S   5.7239e+01   3.155e+01    0  27.910    0.95  22.9999 
OBS:  53685.223  g  82S  -7.9878e+01   6.322e+01    0  28.440    1.61  24.9726 
OBS:  53685.223  r  82S   5.9753e+01   7.408e+01    0  28.240    1.70  23.3436 
OBS:  53685.223  i  82S   1.2213e+02   9.063e+01    0  27.920    1.66  23.1099 
OBS:  53697.223  g  82S   2.4375e+01   1.416e+01    0  28.410    1.12  25.2063 
OBS:  53697.223  r  82S   4.8562e+01   2.393e+01    0  28.220    1.14  23.6576 
OBS:  53697.223  i  82S   3.9192e+01   3.417e+01    0  27.910    1.15  23.4420 
OBS:  53700.219  g  82S  -3.4361e+01   1.492e+01    0  28.370    1.38  25.2650 
OBS:  53700.219  r  82S   8.6202e+01   2.337e+01    0  28.200    1.33  23.7350 
OBS:  53700.219  i  82S   4.9716e+01   3.708e+01    0  27.880    1.20  23.5250 
OBS:  53705.207  g  82S  -2.3689e+00   1.498e+01    0  28.400    1.44  25.3619 
OBS:  53705.207  r  82S   3.5802e+01   2.225e+01    0  28.220    1.35  23.8656 
OBS:  53705.207  i  82S   6.1856e+00   3.305e+01    0  27.900    1.19  23.6628 
END_PHOTOMETRY: 
