SURVEY: SDSS   
SNID:   50402   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -45.856876  deg 
DECL:    0.127967  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0840    MW E(B-V) 
MWEBV_ERR:   0.0134    error on MWEBV 
REDSHIFT_HELIO:   0.160575 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.159392 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53670.953 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  71  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.15972  
SIM_REDSHIFT_CMB:    0.15854  
SIM_REDSHIFT_HOST:   0.15972  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.4000  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -45.856876 deg  
SIM_DECL:      0.127967 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0887   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.68  21.36  20.96  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53670.437500  days 
SIM_SALT2x0:   1.7378e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1825  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -13.21   days 
SIM_TRESTMAX:    29.88   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.970943 
SIMSED_param(color):  0.526179 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 39 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53655.121  g  82S   2.0351e+01   2.929e+01    0  28.580    1.32  99.0000 
OBS:  53655.121  r  82S   4.0330e+01   2.875e+01    0  28.220    0.97  99.0000 
OBS:  53655.121  i  82S  -3.7176e+01   4.344e+01    0  28.000    1.11  99.0000 
OBS:  53657.211  g  82S   1.9938e+01   8.747e+01    0  28.480    2.29  26.2650 
OBS:  53657.211  r  82S  -1.2706e+01   9.845e+01    0  28.150    2.36  25.2230 
OBS:  53657.211  i  82S  -1.5925e+02   1.031e+02    0  27.920    2.06  24.8593 
OBS:  53664.148  g  82S   5.3808e+01   2.430e+01    0  28.570    1.32  23.0648 
OBS:  53664.148  r  82S   1.7605e+02   2.836e+01    0  28.210    1.15  22.0276 
OBS:  53664.148  i  82S   1.7797e+02   4.186e+01    0  28.000    1.28  21.6682 
OBS:  53666.109  g  82S   7.5002e+01   1.254e+01    0  28.580    0.91  22.8422 
OBS:  53666.109  r  82S   2.2274e+02   2.073e+01    0  28.220    0.83  21.7298 
OBS:  53666.109  i  82S   2.4952e+02   3.139e+01    0  27.990    0.76  21.3741 
OBS:  53669.105  g  82S   7.3220e+01   1.300e+01    0  28.580    1.01  22.6695 
OBS:  53669.105  r  82S   2.3833e+02   2.009e+01    0  28.230    0.85  21.4307 
OBS:  53669.105  i  82S   3.4909e+02   3.025e+01    0  28.010    0.76  21.0435 
OBS:  53674.090  g  82S   5.1836e+01   1.392e+01    0  28.540    1.18  22.9279 
OBS:  53674.090  r  82S   2.5675e+02   2.293e+01    0  28.200    1.01  21.3199 
OBS:  53674.090  i  82S   4.2355e+02   3.471e+01    0  27.970    0.96  20.8804 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53674.0900 
OBS:  53676.180  g  82S   4.3108e+01   1.349e+01    0  28.490    0.99  23.2161 
OBS:  53676.180  r  82S   2.7728e+02   2.195e+01    0  28.170    0.88  21.4183 
OBS:  53676.180  i  82S   4.5221e+02   3.150e+01    0  27.970    0.78  20.9245 
OBS:  53681.145  g  82S   2.8150e+01   1.648e+01    0  28.510    0.96  24.0471 
OBS:  53681.145  r  82S   2.2349e+02   3.503e+01    0  28.170    0.95  21.8728 
OBS:  53681.145  i  82S   3.4356e+02   3.835e+01    0  27.950    0.84  21.2171 
OBS:  53685.102  g  82S  -2.7381e+01   4.850e+01    0  28.530    1.64  24.3530 
OBS:  53685.102  r  82S   1.4996e+02   4.762e+01    0  28.180    1.46  22.1688 
OBS:  53685.102  i  82S   2.7103e+02   5.828e+01    0  27.960    1.49  21.4853 
OBS:  53687.141  g  82S   1.9812e+01   4.109e+01    0  28.490    1.38  24.4776 
OBS:  53687.141  r  82S   1.7699e+02   3.805e+01    0  28.160    1.14  22.3031 
OBS:  53687.141  i  82S   1.9766e+02   4.455e+01    0  27.950    1.07  21.6252 
OBS:  53697.102  g  82S  -7.6311e+00   1.570e+01    0  28.510    1.28  25.0983 
OBS:  53697.102  r  82S   8.7480e+01   2.645e+01    0  28.170    1.05  22.9603 
OBS:  53697.102  i  82S   1.1223e+02   3.449e+01    0  27.950    0.96  22.3172 
OBS:  53700.102  g  82S   3.9613e+00   1.556e+01    0  28.460    1.35  25.2638 
OBS:  53700.102  r  82S   1.8848e+01   2.280e+01    0  28.150    1.10  23.1646 
OBS:  53700.102  i  82S   1.5172e+02   3.462e+01    0  27.940    1.00  22.5341 
OBS:  53705.086  g  82S  -1.3518e+01   1.682e+01    0  28.520    1.58  25.4578 
OBS:  53705.086  r  82S   3.3927e+01   2.404e+01    0  28.190    1.27  23.3844 
OBS:  53705.086  i  82S   8.5816e+01   3.611e+01    0  27.990    1.14  22.8086 
END_PHOTOMETRY: 
