SURVEY: SDSS   
SNID:   50467   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      23.505779  deg 
DECL:    1.206282  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0260    MW E(B-V) 
MWEBV_ERR:   0.0042    error on MWEBV 
REDSHIFT_HELIO:   0.196380 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.195181 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53683.844 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  249  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.19688  
SIM_REDSHIFT_CMB:    0.19568  
SIM_REDSHIFT_HOST:   0.19688  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.9055  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        23.505779 deg  
SIM_DECL:      1.206282 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0292   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.90  21.68  21.30  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53683.199219  days 
SIM_SALT2x0:   1.0909e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1649  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.61   days 
SIM_TRESTMAX:    17.61   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.846254 
SIMSED_param(color):  0.370318 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53663.324  g  82N   8.7376e+00   2.748e+01    0  28.560    0.99  99.0000 
OBS:  53663.324  r  82N   1.3137e+01   3.220e+01    0  28.230    1.15  99.0000 
OBS:  53663.324  i  82N   1.5860e+01   3.912e+01    0  27.940    1.04  99.0000 
OBS:  53666.395  g  82N  -8.8487e+00   2.509e+01    0  28.470    1.34  99.0000 
OBS:  53666.395  r  82N  -1.9944e+00   2.743e+01    0  28.180    1.26  99.0000 
OBS:  53666.395  i  82N   2.1924e+01   3.629e+01    0  27.890    1.14  99.0000 
OBS:  53668.316  g  82N   1.8416e+01   2.181e+01    0  28.550    1.72  28.0394 
OBS:  53668.316  r  82N   3.2002e+01   2.879e+01    0  28.230    1.70  27.1197 
OBS:  53668.316  i  82N  -5.2705e+00   4.171e+01    0  27.940    1.60  26.8040 
OBS:  53670.320  g  82N   2.2503e+01   1.560e+01    0  28.500    1.52  25.8163 
OBS:  53670.320  r  82N  -2.4660e+01   2.856e+01    0  28.200    1.74  24.9454 
OBS:  53670.320  i  82N   4.1554e+01   3.851e+01    0  27.910    1.50  24.6178 
OBS:  53673.289  g  82N  -3.2310e+00   1.304e+01    0  28.540    1.12  24.3511 
OBS:  53673.289  r  82N   5.3794e+01   2.340e+01    0  28.220    1.36  23.4903 
OBS:  53673.289  i  82N   6.9692e+01   3.460e+01    0  27.920    1.37  23.1640 
OBS:  53675.285  g  82N   2.0096e+01   1.358e+01    0  28.540    1.22  23.5888 
OBS:  53675.285  r  82N   1.2083e+02   2.372e+01    0  28.220    1.31  22.7383 
OBS:  53675.285  i  82N   6.5307e+01   3.489e+01    0  27.930    1.26  22.4085 
OBS:  53677.305  g  82N   5.6663e+01   1.476e+01    0  28.340    1.17  23.1129 
OBS:  53677.305  r  82N   1.4163e+02   2.488e+01    0  28.160    1.49  22.2135 
OBS:  53677.305  i  82N   2.1962e+02   3.480e+01    0  27.890    1.38  21.9001 
OBS:  53680.293  g  82N   8.7727e+01   1.448e+01    0  28.510    1.30  22.9086 
OBS:  53680.293  r  82N   1.8216e+02   2.229e+01    0  28.190    1.15  21.8700 
OBS:  53680.293  i  82N   2.5950e+02   3.434e+01    0  27.920    1.29  21.5262 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53680.2930 
OBS:  53686.293  g  82N   9.3404e+01   4.938e+01    0  28.500    1.73  23.1067 
OBS:  53686.293  r  82N   2.4815e+02   5.502e+01    0  28.190    1.80  21.6448 
OBS:  53686.293  i  82N   3.5588e+02   6.647e+01    0  27.910    1.83  21.2364 
OBS:  53693.293  g  82N  -1.7621e+01   3.125e+01    0  28.490    1.37  24.1897 
OBS:  53693.293  r  82N   1.5826e+02   3.517e+01    0  28.180    1.44  22.1991 
OBS:  53693.293  i  82N   3.1313e+02   4.249e+01    0  27.910    1.37  21.5185 
OBS:  53698.293  g  82N   9.6643e+00   1.905e+01    0  28.050    1.33  24.6247 
