SURVEY: SDSS   
SNID:   50487   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      31.694319  deg 
DECL:    -0.224557  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0290    MW E(B-V) 
MWEBV_ERR:   0.0046    error on MWEBV 
REDSHIFT_HELIO:   0.177027 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.175983 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53679.594 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  315  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.17702  
SIM_REDSHIFT_CMB:    0.17598  
SIM_REDSHIFT_HOST:   0.17702  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.6494  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        31.694319 deg  
SIM_DECL:      -0.224557 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0276   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.37  21.61  21.10  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53678.984375  days 
SIM_SALT2x0:   1.3811e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.1683  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -12.42   days 
SIM_TRESTMAX:    22.36   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.181092 
SIMSED_param(color):  0.827730 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 39 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53664.363  g  82S  -6.9899e+01   5.008e+01    0  28.550    1.40  28.5054 
OBS:  53664.363  r  82S  -2.4137e+01   4.765e+01    0  28.250    1.04  27.0368 
OBS:  53664.363  i  82S   3.7643e+00   6.588e+01    0  27.960    0.91  26.5722 
OBS:  53665.426  g  82S   1.4885e+01   2.503e+01    0  28.480    1.03  27.0375 
OBS:  53665.426  r  82S   2.6859e+01   2.822e+01    0  28.240    0.94  25.5936 
OBS:  53665.426  i  82S   7.2995e+01   3.637e+01    0  27.960    0.87  25.1265 
OBS:  53669.320  g  82S   3.6181e+01   1.654e+01    0  28.530    1.47  24.8229 
OBS:  53669.320  r  82S   4.2715e+01   2.372e+01    0  28.230    1.25  23.3965 
OBS:  53669.320  i  82S   9.7198e+01   3.443e+01    0  27.950    1.15  22.9263 
OBS:  53671.406  g  82S   5.5762e+01   1.607e+01    0  28.400    1.12  24.0185 
OBS:  53671.406  r  82S   8.7625e+01   2.475e+01    0  28.160    1.04  22.6105 
OBS:  53671.406  i  82S   1.3990e+02   3.057e+01    0  27.890    0.81  22.1367 
OBS:  53674.305  g  82S   5.6556e+01   1.536e+01    0  28.520    1.58  23.5201 
OBS:  53674.305  r  82S   1.6139e+02   2.553e+01    0  28.240    1.51  22.0109 
OBS:  53674.305  i  82S   2.5248e+02   3.655e+01    0  27.950    1.40  21.5555 
OBS:  53676.395  g  82S   7.7584e+01   1.478e+01    0  28.360    1.10  23.3812 
OBS:  53676.395  r  82S   1.9064e+02   2.200e+01    0  28.130    0.88  21.7874 
OBS:  53676.395  i  82S   3.1772e+02   3.347e+01    0  27.850    0.91  21.2974 
OBS:  53679.367  g  82S   6.7691e+01   1.792e+01    0  28.520    1.82  23.3897 
OBS:  53679.367  r  82S   2.4096e+02   3.176e+01    0  28.230    1.69  21.5984 
OBS:  53679.367  i  82S   3.4708e+02   4.691e+01    0  27.950    1.59  21.0846 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53679.3670 
OBS:  53681.359  g  82S   4.0422e+01   1.353e+01    0  28.520    1.14  23.5101 
OBS:  53681.359  r  82S   2.1529e+02   2.070e+01    0  28.230    0.91  21.5563 
OBS:  53681.359  i  82S   3.8737e+02   3.047e+01    0  27.950    0.85  21.0283 
OBS:  53684.320  g  82S   3.0703e+01   1.570e+01    0  28.550    1.38  23.8787 
OBS:  53684.320  r  82S   2.4453e+02   2.896e+01    0  28.250    1.43  21.6561 
OBS:  53684.320  i  82S   3.5477e+02   4.004e+01    0  27.960    1.34  21.0615 
OBS:  53687.262  g  82S   1.5681e+01   3.923e+01    0  28.550    1.13  24.3757 
OBS:  53687.262  r  82S   2.0692e+02   4.199e+01    0  28.250    1.08  21.9072 
OBS:  53687.262  i  82S   3.9375e+02   4.438e+01    0  27.980    0.97  21.2011 
OBS:  53697.316  g  82S   1.3720e+01   1.867e+01    0  28.520    1.10  25.3202 
OBS:  53697.316  r  82S   6.0442e+01   2.409e+01    0  28.230    1.02  22.6893 
OBS:  53697.316  i  82S   1.8506e+02   3.259e+01    0  27.950    0.91  21.8931 
OBS:  53700.316  g  82S   4.9614e+01   1.810e+01    0  28.460    1.84  25.5035 
OBS:  53700.316  r  82S   8.8385e+01   2.845e+01    0  28.200    1.62  22.8825 
OBS:  53700.316  i  82S   9.6863e+01   4.441e+01    0  27.930    1.57  22.0994 
OBS:  53705.301  g  82S  -8.2143e+00   1.576e+01    0  28.500    1.53  25.8097 
OBS:  53705.301  r  82S   2.9571e+01   2.588e+01    0  28.220    1.46  23.2048 
OBS:  53705.301  i  82S   5.5123e+01   3.673e+01    0  27.960    1.34  22.4400 
END_PHOTOMETRY: 
