SURVEY: SDSS   
SNID:   50579   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -49.359417  deg 
DECL:    -0.394707  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0620    MW E(B-V) 
MWEBV_ERR:   0.0099    error on MWEBV 
REDSHIFT_HELIO:   0.102592 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.101518 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53633.859 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  603  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.10245  
SIM_REDSHIFT_CMB:    0.10138  
SIM_REDSHIFT_HOST:   0.10245  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.3491  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -49.359417 deg  
SIM_DECL:      -0.394707 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0623   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.14  20.12  19.86  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53634.132812  days 
SIM_SALT2x0:   4.5746e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.3267  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -8.12   days 
SIM_TRESTMAX:    59.83   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.916824 
SIMSED_param(color):  0.458530 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53625.184  g  82S   5.4826e+01   1.744e+01    0  28.530    0.90  22.7041 
OBS:  53625.184  r  82S   1.9216e+02   2.182e+01    0  28.240    0.78  21.8973 
OBS:  53625.184  i  82S   2.2827e+02   3.045e+01    0  27.940    0.73  21.6475 
OBS:  53627.145  g  82S   1.5649e+02   3.103e+01    0  28.510    1.15  21.9263 
OBS:  53627.145  r  82S   3.5610e+02   3.467e+01    0  28.240    1.12  21.1181 
OBS:  53627.145  i  82S   4.5079e+02   3.938e+01    0  27.930    0.93  20.8730 
OBS:  53634.137  g  82S   3.4780e+02   3.987e+01    0  28.570    2.00  21.1406 
OBS:  53634.137  r  82S   9.4292e+02   4.028e+01    0  28.270    1.84  20.1237 
OBS:  53634.137  i  82S   1.1798e+03   5.323e+01    0  27.980    1.75  19.8621 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53634.1370 
OBS:  53636.141  g  82S   3.3994e+02   1.455e+01    0  28.530    1.04  21.2009 
OBS:  53636.141  r  82S   9.8176e+02   2.427e+01    0  28.210    1.04  20.0583 
OBS:  53636.141  i  82S   1.2718e+03   3.643e+01    0  27.910    0.97  19.7782 
OBS:  53645.199  g  82S   1.0001e+02   1.419e+01    0  28.520    1.12  22.5083 
OBS:  53645.199  r  82S   5.8525e+02   2.657e+01    0  28.090    0.98  20.6570 
OBS:  53645.199  i  82S   9.1574e+02   3.527e+01    0  27.840    0.93  20.1146 
OBS:  53655.113  g  82S   4.0514e+01   2.355e+01    0  28.560    1.01  23.1566 
OBS:  53655.113  r  82S   2.4829e+02   2.539e+01    0  28.260    0.80  21.3581 
OBS:  53655.113  i  82S   5.0333e+02   3.378e+01    0  27.980    0.76  20.8214 
OBS:  53664.137  g  82S   1.5901e+01   2.680e+01    0  28.550    1.51  23.7690 
OBS:  53664.137  r  82S   1.8053e+02   3.046e+01    0  28.250    1.31  21.9681 
OBS:  53664.137  i  82S   2.5483e+02   3.993e+01    0  27.960    1.11  21.4778 
OBS:  53666.102  g  82S   4.4602e+01   1.247e+01    0  28.570    0.93  23.8292 
OBS:  53666.102  r  82S   1.6669e+02   2.005e+01    0  28.260    0.78  22.0435 
OBS:  53666.102  i  82S   2.4300e+02   2.977e+01    0  27.970    0.70  21.5800 
OBS:  53669.098  g  82S   2.6318e+01   1.268e+01    0  28.570    1.01  23.9331 
OBS:  53669.098  r  82S   1.4390e+02   2.013e+01    0  28.260    0.86  22.1626 
OBS:  53669.098  i  82S   1.9676e+02   2.987e+01    0  27.990    0.81  21.7495 
OBS:  53674.082  g  82S   2.5374e+01   1.517e+01    0  28.530    1.49  24.0432 
OBS:  53674.082  r  82S   1.2086e+02   2.312e+01    0  28.240    1.05  22.3421 
OBS:  53674.082  i  82S   1.6358e+02   3.331e+01    0  27.950    0.93  22.0045 
OBS:  53681.133  g  82S   1.3962e+01   1.671e+01    0  28.520    1.01  24.2231 
OBS:  53681.133  r  82S   9.1838e+01   3.522e+01    0  28.230    0.87  22.5723 
