SURVEY: SDSS   
SNID:   50667   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      24.805841  deg 
DECL:    0.078511  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0330    MW E(B-V) 
MWEBV_ERR:   0.0053    error on MWEBV 
REDSHIFT_HELIO:   0.048602 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.047572 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53617.559 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  861  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.04883  
SIM_REDSHIFT_CMB:    0.04780  
SIM_REDSHIFT_HOST:   0.04883  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.6356  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        24.805841 deg  
SIM_DECL:      0.078511 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0239   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   19.46  18.33  18.21  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53617.707031  days 
SIM_SALT2x0:   2.2170e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     4.47   days 
SIM_TRESTMAX:    83.50   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.142300 
SIMSED_param(color):  0.740375 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53622.391  g  82S   1.2010e+03   2.008e+01    0  28.520    1.58  19.7774 
OBS:  53622.391  r  82S   4.8336e+03   3.426e+01    0  28.180    1.55  18.2905 
OBS:  53622.391  i  82S   5.4201e+03   4.620e+01    0  27.970    1.28  18.1694 
OBS:  53627.348  g  82S   5.8764e+02   2.179e+01    0  28.540    1.52  20.5841 
OBS:  53627.348  r  82S   3.3872e+03   2.985e+01    0  28.220    1.09  18.6748 
OBS:  53627.348  i  82S   4.2940e+03   4.431e+01    0  27.950    1.08  18.4032 
OBS:  53634.340  g  82S   3.3285e+02   6.268e+01    0  28.600    2.00  21.1370 
OBS:  53634.340  r  82S   2.1759e+03   6.058e+01    0  28.230    1.76  19.2192 
OBS:  53634.340  i  82S   2.7226e+03   7.753e+01    0  28.000    1.73  18.8948 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53634.3400 
OBS:  53638.383  g  82S   3.1412e+02   1.632e+01    0  28.590    0.98  21.4184 
OBS:  53638.383  r  82S   1.5632e+03   2.464e+01    0  28.240    0.94  19.5255 
OBS:  53638.383  i  82S   2.0973e+03   3.646e+01    0  27.990    0.91  19.1875 
OBS:  53640.348  g  82S   2.1640e+02   1.661e+01    0  28.510    1.35  21.5585 
OBS:  53640.348  r  82S   1.3091e+03   2.624e+01    0  28.180    1.36  19.6738 
OBS:  53640.348  i  82S   1.8020e+03   3.943e+01    0  27.940    1.26  19.3290 
OBS:  53655.320  g  82S   1.1112e+02   1.528e+01    0  28.600    1.42  22.2330 
OBS:  53655.320  r  82S   6.4086e+02   2.642e+01    0  28.240    1.35  20.4943 
OBS:  53655.320  i  82S   7.7606e+02   3.751e+01    0  28.020    1.09  20.2775 
OBS:  53664.344  g  82S   1.1180e+02   3.815e+01    0  28.570    1.24  22.4851 
OBS:  53664.344  r  82S   4.9466e+02   4.344e+01    0  28.210    0.97  20.7780 
OBS:  53664.344  i  82S   5.3253e+02   4.770e+01    0  28.000    0.87  20.7098 
OBS:  53669.301  g  82S   9.0505e+01   1.394e+01    0  28.550    1.11  22.5904 
OBS:  53669.301  r  82S   3.8480e+02   2.165e+01    0  28.200    1.03  20.9219 
OBS:  53669.301  i  82S   4.8202e+02   3.096e+01    0  27.990    0.85  20.8521 
OBS:  53671.387  g  82S   8.2757e+01   1.705e+01    0  28.380    1.32  22.6343 
OBS:  53671.387  r  82S   4.0168e+02   2.867e+01    0  28.030    1.29  20.9825 
OBS:  53671.387  i  82S   4.4351e+02   3.838e+01    0  27.850    1.03  20.9118 
OBS:  53674.285  g  82S   1.0485e+02   1.714e+01    0  28.550    1.75  22.6951 
OBS:  53674.285  r  82S   3.6938e+02   2.866e+01    0  28.200    1.72  21.0661 
OBS:  53674.285  i  82S   5.3510e+02   4.179e+01    0  27.990    1.59  20.9951 
OBS:  53676.375  g  82S   1.0828e+02   1.458e+01    0  28.410    1.02  22.7397 
