SURVEY: SDSS   
SNID:   50759   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -11.736938  deg 
DECL:    0.574010  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0410    MW E(B-V) 
MWEBV_ERR:   0.0066    error on MWEBV 
REDSHIFT_HELIO:   0.115111 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.113741 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53656.383 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  130  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.11466  
SIM_REDSHIFT_CMB:    0.11329  
SIM_REDSHIFT_HOST:   0.11466  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.6081  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -11.736938 deg  
SIM_DECL:      0.574010 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0372   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   21.31  20.31  20.06  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53655.628906  days 
SIM_SALT2x0:   3.6039e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2904  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.19   days 
SIM_TRESTMAX:    44.45   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.897814 
SIMSED_param(color):  0.434768 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 54 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53634.238  g  82S   2.0140e+01   5.847e+01    0  28.470    2.13  99.0000 
OBS:  53634.238  r  82S   6.2940e+01   5.631e+01    0  28.270    2.04  99.0000 
OBS:  53634.238  i  82S   2.9240e+01   7.253e+01    0  27.930    2.21  99.0000 
OBS:  53636.246  g  82S   9.6507e+01   4.129e+01    0  28.240    1.47  99.0000 
OBS:  53636.246  r  82S  -3.2265e+01   5.186e+01    0  27.940    1.47  99.0000 
OBS:  53636.246  i  82S   4.1591e+01   6.399e+01    0  27.680    1.38  99.0000 
OBS:  53638.281  g  82S  -3.7459e+01   1.571e+01    0  28.470    1.05  99.0000 
OBS:  53638.281  r  82S  -2.5848e+01   2.100e+01    0  28.250    0.98  99.0000 
OBS:  53638.281  i  82S  -1.0805e+01   3.239e+01    0  27.900    0.93  99.0000 
OBS:  53640.246  g  82S  -4.5057e+01   4.417e+01    0  27.500    2.06  99.0000 
OBS:  53640.246  r  82S  -3.9517e+00   3.304e+01    0  28.120    1.68  99.0000 
OBS:  53640.246  i  82S   9.8528e+00   1.050e+02    0  26.870    1.64  99.0000 
OBS:  53655.219  g  82S   3.0071e+02   3.256e+01    0  28.470    1.65  21.3107 
OBS:  53655.219  r  82S   7.6140e+02   4.057e+01    0  28.260    1.71  20.3352 
OBS:  53655.219  i  82S   9.9301e+02   5.418e+01    0  27.920    1.63  20.0814 
OBS:  53664.242  g  82S   1.0961e+02   3.084e+01    0  28.470    1.47  22.2965 
OBS:  53664.242  r  82S   5.0342e+02   3.654e+01    0  28.250    1.50  20.5988 
OBS:  53664.242  i  82S   8.7489e+02   4.926e+01    0  27.920    1.43  20.1704 
OBS:  53666.207  g  82S   7.8352e+01   1.505e+01    0  28.470    0.92  22.6213 
OBS:  53666.207  r  82S   4.8531e+02   2.354e+01    0  28.260    1.03  20.8063 
OBS:  53666.207  i  82S   7.8483e+02   3.598e+01    0  27.910    0.93  20.2854 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53666.2070 
OBS:  53669.203  g  82S   6.6776e+01   1.338e+01    0  28.470    1.11  22.8538 
OBS:  53669.203  r  82S   4.1096e+02   2.241e+01    0  28.260    1.11  21.0312 
OBS:  53669.203  i  82S   6.5628e+02   3.614e+01    0  27.920    1.00  20.4910 
OBS:  53671.285  g  82S   7.1395e+01   1.636e+01    0  28.330    1.38  22.9879 
OBS:  53671.285  r  82S   3.2137e+02   2.557e+01    0  28.180    1.37  21.1767 
OBS:  53671.285  i  82S   5.2577e+02   3.982e+01    0  27.860    1.25  20.6376 
OBS:  53674.188  g  82S   8.9278e+01   1.546e+01    0  28.420    1.51  23.1797 
OBS:  53674.188  r  82S   2.3882e+02   2.760e+01    0  28.230    1.61  21.3794 
OBS:  53674.188  i  82S   3.5891e+02   4.367e+01    0  27.890    1.56  20.8478 
OBS:  53676.273  g  82S   3.8340e+01   1.374e+01    0  28.350    1.01  23.3155 
OBS:  53676.273  r  82S   2.6044e+02   2.421e+01    0  28.190    1.27  21.5249 
