SURVEY: SDSS   
SNID:   50833   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -2.691414  deg 
DECL:    -0.323851  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0330    MW E(B-V) 
MWEBV_ERR:   0.0053    error on MWEBV 
REDSHIFT_HELIO:   0.070490 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.069195 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53618.629 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  321  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.07007  
SIM_REDSHIFT_CMB:    0.06878  
SIM_REDSHIFT_HOST:   0.07007  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      37.4585  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -2.691414 deg  
SIM_DECL:      -0.323851 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0451   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.72  19.34  19.09  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53618.078125  days 
SIM_SALT2x0:   1.0389e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.6366  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     3.96   days 
SIM_TRESTMAX:    81.42   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.221475 
SIMSED_param(color):  0.928687 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 56 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53622.316  g  82S   3.7875e+02   1.823e+01    0  28.450    1.56  20.9904 
OBS:  53622.316  r  82S   1.8684e+03   2.971e+01    0  28.190    1.50  19.3027 
OBS:  53622.316  i  82S   2.4930e+03   4.260e+01    0  27.910    1.13  19.0189 
OBS:  53627.273  g  82S   2.1451e+02   2.820e+01    0  28.510    1.36  21.7786 
OBS:  53627.273  r  82S   1.3010e+03   3.108e+01    0  28.240    1.14  19.6684 
OBS:  53627.273  i  82S   1.9605e+03   4.142e+01    0  27.930    1.04  19.2381 
OBS:  53634.266  g  82S   9.6444e+01   4.262e+01    0  28.590    1.74  22.3824 
OBS:  53634.266  r  82S   8.8970e+02   4.716e+01    0  28.280    1.70  20.2229 
OBS:  53634.266  i  82S   1.2486e+03   5.578e+01    0  27.990    1.62  19.7209 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53634.2660 
OBS:  53636.270  g  82S   1.4772e+02   5.881e+01    0  27.920    1.55  22.5209 
OBS:  53636.270  r  82S   7.9592e+02   1.431e+02    0  27.540    1.38  20.3714 
OBS:  53636.270  i  82S   9.9445e+02   1.690e+02    0  27.420    1.34  19.8696 
OBS:  53638.305  g  82S   9.5002e+01   1.744e+01    0  28.520    1.19  22.6591 
OBS:  53638.305  r  82S   6.1825e+02   2.308e+01    0  28.250    0.96  20.5216 
OBS:  53638.305  i  82S   9.7186e+02   3.445e+01    0  27.940    0.94  20.0169 
OBS:  53640.270  g  82S   7.1047e+01   2.859e+01    0  27.990    1.84  22.7914 
OBS:  53640.270  r  82S   5.3517e+02   8.127e+01    0  27.300    1.87  20.6659 
OBS:  53655.242  g  82S   4.8814e+01   4.237e+01    0  28.560    2.42  23.5021 
OBS:  53655.242  r  82S   1.4342e+02   4.855e+01    0  28.260    2.01  21.4806 
OBS:  53655.242  i  82S   4.1773e+02   6.301e+01    0  27.970    2.25  21.1043 
OBS:  53664.266  g  82S   5.7501e+01   3.920e+01    0  28.550    1.53  23.7589 
OBS:  53664.266  r  82S   2.6656e+02   9.524e+01    0  28.250    1.38  21.7639 
OBS:  53664.266  i  82S   3.2250e+02   7.062e+01    0  27.960    1.34  21.5772 
OBS:  53666.230  g  82S   5.8047e+01   1.739e+01    0  28.570    1.09  23.7982 
OBS:  53666.230  r  82S   1.6665e+02   2.299e+01    0  28.260    0.94  21.8198 
OBS:  53666.230  i  82S   2.6257e+02   3.250e+01    0  27.970    0.87  21.6321 
OBS:  53669.227  g  82S   2.0941e+01   1.249e+01    0  28.560    1.02  23.8620 
OBS:  53669.227  r  82S   1.5943e+02   2.014e+01    0  28.260    0.89  21.9038 
OBS:  53669.227  i  82S   1.9982e+02   3.075e+01    0  27.980    0.87  21.7186 
OBS:  53671.312  g  82S   2.4246e+01   1.759e+01    0  28.430    1.58  23.9047 
OBS:  53671.312  r  82S   1.1068e+02   2.890e+01    0  28.180    1.47  21.9625 
OBS:  53671.312  i  82S   1.7127e+02   4.058e+01    0  27.920    1.38  21.7783 
OBS:  53674.211  g  82S   2.6961e+01   1.422e+01    0  28.530    1.41  23.9638 
OBS:  53674.211  r  82S   1.9832e+02   2.378e+01    0  28.240    1.28  22.0441 
OBS:  53674.211  i  82S   1.7583e+02   3.296e+01    0  27.960    1.14  21.8614 
OBS:  53676.301  g  82S   2.8638e+01   1.399e+01    0  28.470    1.10  24.0055 
OBS:  53676.301  r  82S   1.5474e+02   2.302e+01    0  28.220    1.05  22.1021 
OBS:  53676.301  i  82S   1.6443e+02   3.134e+01    0  27.950    0.94  21.9209 
OBS:  53679.273  g  82S   4.8216e+01   1.611e+01    0  28.520    1.60  24.0665 
OBS:  53679.273  r  82S   1.3045e+02   2.694e+01    0  28.230    1.39  22.1859 
OBS:  53679.273  i  82S   1.8864e+02   4.130e+01    0  27.950    1.46  22.0061 
OBS:  53681.266  g  82S   1.4736e+01   1.395e+01    0  28.520    1.21  24.1068 
OBS:  53681.266  r  82S   1.4993e+02   2.122e+01    0  28.230    0.90  22.2421 
OBS:  53681.266  i  82S   1.0243e+02   2.936e+01    0  27.950    0.83  22.0631 
OBS:  53685.223  g  82S   3.6682e+01   6.100e+01    0  28.550    1.65  24.1872 
OBS:  53685.223  r  82S   1.5594e+02   1.151e+02    0  28.250    1.63  22.3537 
OBS:  53685.223  i  82S   1.0376e+02   1.310e+02    0  27.960    1.52  22.1762 
OBS:  53697.223  g  82S   5.2133e+01   1.406e+01    0  28.520    1.13  24.4320 
OBS:  53697.223  r  82S   4.4625e+01   2.436e+01    0  28.230    1.08  22.6915 
OBS:  53697.223  i  82S   9.2349e+01   3.095e+01    0  27.950    0.98  22.5179 
OBS:  53700.219  g  82S   3.2494e+01   1.491e+01    0  28.470    1.40  24.4934 
OBS:  53700.219  r  82S   1.0652e+02   2.354e+01    0  28.210    1.25  22.7760 
OBS:  53700.219  i  82S   1.2029e+02   3.381e+01    0  27.940    1.07  22.6032 
OBS:  53705.207  g  82S   1.2956e+01   1.452e+01    0  28.500    1.40  24.5948 
OBS:  53705.207  r  82S   1.0197e+02   2.285e+01    0  28.220    1.29  22.9170 
OBS:  53705.207  i  82S   5.9506e+01   3.095e+01    0  27.960    1.07  22.7456 
END_PHOTOMETRY: 
