SURVEY: SDSS   
SNID:   50861   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      -1.406718  deg 
DECL:    -0.306489  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0300    MW E(B-V) 
MWEBV_ERR:   0.0048    error on MWEBV 
REDSHIFT_HELIO:   0.143605 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.142227 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53642.523 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  402  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.14240  
SIM_REDSHIFT_CMB:    0.14102  
SIM_REDSHIFT_HOST:   0.14240  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.1223  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -1.406718 deg  
SIM_DECL:      -0.306489 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0250   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.00  20.87  20.56  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53642.871094  days 
SIM_SALT2x0:   2.2443e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2203  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -17.99   days 
SIM_TRESTMAX:    54.57   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.941886 
SIMSED_param(color):  0.489858 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 54 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53622.320  g  82S   5.1176e+00   1.690e+01    0  28.460    1.51  99.0000 
OBS:  53622.320  r  82S   1.7933e+01   2.516e+01    0  28.190    1.45  99.0000 
OBS:  53622.320  i  82S  -2.2930e+01   3.984e+01    0  27.920    1.37  99.0000 
OBS:  53627.277  g  82S  -9.3421e+00   2.822e+01    0  28.510    1.39  99.0000 
OBS:  53627.277  r  82S   4.7276e+01   2.861e+01    0  28.240    1.17  99.0000 
OBS:  53627.277  i  82S  -6.4628e+00   3.542e+01    0  27.930    1.00  99.0000 
OBS:  53634.270  g  82S   1.2817e+02   3.988e+01    0  28.590    1.60  23.2073 
OBS:  53634.270  r  82S   2.3855e+01   4.411e+01    0  28.290    1.59  22.3290 
OBS:  53634.270  i  82S   1.6007e+02   4.916e+01    0  27.990    1.49  22.0466 
OBS:  53636.273  g  82S   1.3300e+02   3.100e+01    0  28.470    1.55  22.5315 
OBS:  53636.273  r  82S   9.5228e+01   1.616e+02    0  27.630    1.34  21.6549 
OBS:  53636.273  i  82S   4.2690e+02   1.483e+02    0  27.560    1.40  21.3767 
OBS:  53638.309  g  82S   1.2794e+02   1.729e+01    0  28.520    1.12  22.2188 
OBS:  53638.309  r  82S   3.3903e+02   2.375e+01    0  28.250    1.07  21.2818 
OBS:  53638.309  i  82S   4.0800e+02   3.400e+01    0  27.940    1.04  21.0105 
OBS:  53640.273  g  82S   1.1912e+02   1.864e+01    0  28.480    1.76  22.0565 
OBS:  53640.273  r  82S   3.9184e+02   3.387e+01    0  28.070    1.80  21.0534 
OBS:  53640.273  i  82S   5.0229e+02   4.579e+01    0  27.890    1.69  20.7623 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53640.2730 
OBS:  53655.246  g  82S   4.7809e+01   3.288e+01    0  28.560    1.97  23.4941 
OBS:  53655.246  r  82S   2.7419e+02   5.087e+01    0  28.260    2.29  21.5089 
OBS:  53655.246  i  82S   4.1864e+02   5.711e+01    0  27.980    1.89  20.9142 
OBS:  53666.234  g  82S   6.8503e+00   1.647e+01    0  28.570    1.01  24.1877 
OBS:  53666.234  r  82S   7.6257e+01   2.312e+01    0  28.260    0.97  22.2495 
OBS:  53666.234  i  82S   2.1176e+02   3.162e+01    0  27.970    0.83  21.6827 
OBS:  53669.230  g  82S   2.2701e+01   1.247e+01    0  28.560    1.01  24.3773 
OBS:  53669.230  r  82S   1.0814e+02   2.020e+01    0  28.250    0.89  22.4515 
OBS:  53669.230  i  82S   1.8377e+02   2.979e+01    0  27.970    0.81  21.8928 
OBS:  53671.316  g  82S   4.5192e+01   1.781e+01    0  28.440    1.59  24.5021 
OBS:  53671.316  r  82S   1.2157e+02   2.903e+01    0  28.180    1.44  22.5853 
OBS:  53671.316  i  82S   1.7658e+02   4.149e+01    0  27.920    1.35  22.0433 
OBS:  53674.215  g  82S  -2.9144e+00   1.418e+01    0  28.530    1.39  24.6632 
OBS:  53674.215  r  82S   4.7245e+01   2.362e+01    0  28.240    1.28  22.7603 
