SURVEY: SDSS   
SNID:   50884   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      -21.253531  deg 
DECL:    0.303460  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0690    MW E(B-V) 
MWEBV_ERR:   0.0110    error on MWEBV 
REDSHIFT_HELIO:   0.026098 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.024855 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53653.820 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  491  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.02683  
SIM_REDSHIFT_CMB:    0.02559  
SIM_REDSHIFT_HOST:   0.02683  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      35.2437  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -21.253531 deg  
SIM_DECL:      0.303460 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0764   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   18.20  17.05  16.96  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53654.187500  days 
SIM_SALT2x0:   7.9897e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -18.47   days 
SIM_TRESTMAX:    46.72   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.158995 
SIMSED_param(color):  0.772487 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 54 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53635.219  g  82N   3.8764e+00   2.905e+01    0  28.580    1.56  99.0000 
OBS:  53635.219  r  82N   1.2000e+01   2.821e+01    0  28.220    1.26  99.0000 
OBS:  53635.219  i  82N  -3.8440e+01   3.650e+01    0  27.990    1.11  99.0000 
OBS:  53637.211  g  82N   3.5748e+01   2.176e+01    0  28.520    1.67  99.0000 
OBS:  53637.211  r  82N  -2.7488e+01   2.833e+01    0  28.180    1.49  99.0000 
OBS:  53637.211  i  82N  -5.7135e-01   4.362e+01    0  27.950    1.48  99.0000 
OBS:  53644.207  g  82N   5.5073e+02   1.471e+01    0  28.550    0.95  20.6557 
OBS:  53644.207  r  82N   1.2847e+03   2.218e+01    0  28.190    0.82  19.6861 
OBS:  53644.207  i  82N   1.4137e+03   3.336e+01    0  27.970    0.80  19.5892 
OBS:  53654.242  g  82N   5.2545e+03   2.961e+01    0  28.540    1.13  18.2047 
OBS:  53654.242  r  82N   1.5217e+04   4.958e+01    0  28.200    1.22  17.0509 
OBS:  53654.242  i  82N   1.6607e+04   6.326e+01    0  27.980    1.02  16.9557 
OBS:  53656.188  g  82N   5.0791e+03   5.119e+01    0  28.580    1.69  18.2454 
OBS:  53656.188  r  82N   1.6184e+04   6.628e+01    0  28.220    1.67  16.9782 
OBS:  53656.188  i  82N   1.7731e+04   7.926e+01    0  27.990    1.58  16.8748 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53656.1880 
OBS:  53663.203  g  82N   2.0273e+03   2.580e+01    0  28.580    0.87  19.2329 
OBS:  53663.203  r  82N   1.1982e+04   4.237e+01    0  28.230    0.74  17.3045 
OBS:  53663.203  i  82N   1.4177e+04   5.427e+01    0  28.000    0.69  17.1198 
OBS:  53665.180  g  82N   1.6140e+03   2.573e+01    0  28.550    0.98  19.4782 
OBS:  53665.180  r  82N   1.0316e+04   4.656e+01    0  28.190    0.99  17.4752 
OBS:  53665.180  i  82N   1.2731e+04   6.834e+01    0  27.970    0.86  17.2367 
OBS:  53668.191  g  82N   1.3382e+03   1.971e+01    0  28.580    1.56  19.6914 
OBS:  53668.191  r  82N   8.3055e+03   3.947e+01    0  28.220    1.43  17.7082 
OBS:  53668.191  i  82N   1.0527e+04   5.918e+01    0  28.000    1.45  17.4501 
OBS:  53670.195  g  82N   1.1807e+03   1.809e+01    0  28.540    1.21  19.8350 
OBS:  53670.195  r  82N   7.1247e+03   3.533e+01    0  28.200    1.07  17.8653 
OBS:  53670.195  i  82N   9.2017e+03   4.972e+01    0  27.980    0.96  17.5960 
OBS:  53673.164  g  82N   9.6264e+02   1.799e+01    0  28.560    1.45  20.0470 
OBS:  53673.164  r  82N   5.7911e+03   3.345e+01    0  28.220    1.24  18.0971 
OBS:  53673.164  i  82N   7.5397e+03   4.787e+01    0  27.980    1.09  17.8108 
OBS:  53675.160  g  82N   8.6585e+02   1.739e+01    0  28.570    1.42  20.1888 
