SURVEY: SDSS   
SNID:   50941   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: gri 
RA:      9.085035  deg 
DECL:    -0.370796  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0180    MW E(B-V) 
MWEBV_ERR:   0.0029    error on MWEBV 
REDSHIFT_HELIO:   0.079844 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.078609 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53617.352 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  657  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.08040  
SIM_REDSHIFT_CMB:    0.07916  
SIM_REDSHIFT_HOST:   0.08040  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      37.7796  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        9.085035 deg  
SIM_DECL:      -0.370796 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0116   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.37  19.43  19.26  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53617.660156  days 
SIM_SALT2x0:   7.7300e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.5743  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     4.34   days 
SIM_TRESTMAX:    81.06   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.950280 
SIMSED_param(color):  0.500350 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53622.348  g  82S   5.2813e+02   2.025e+01    0  28.460    1.71  20.6950 
OBS:  53622.348  r  82S   1.7084e+03   2.870e+01    0  28.190    1.45  19.4134 
OBS:  53622.348  i  82S   2.0018e+03   4.380e+01    0  27.930    1.35  19.1946 
OBS:  53627.305  g  82S   2.4314e+02   2.286e+01    0  28.510    1.09  21.4978 
OBS:  53627.305  r  82S   1.1708e+03   2.882e+01    0  28.240    1.07  19.8119 
OBS:  53627.305  i  82S   1.6558e+03   3.889e+01    0  27.930    0.99  19.4196 
OBS:  53634.297  g  82S   1.4734e+02   3.874e+01    0  28.580    1.48  22.0621 
OBS:  53634.297  r  82S   7.5399e+02   4.315e+01    0  28.280    1.48  20.3503 
OBS:  53634.297  i  82S   1.0270e+03   4.654e+01    0  27.990    1.31  19.9085 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53634.2970 
OBS:  53638.340  g  82S   1.2461e+02   1.713e+01    0  28.520    1.09  22.3364 
OBS:  53638.340  r  82S   5.3339e+02   2.332e+01    0  28.250    0.97  20.6450 
OBS:  53638.340  i  82S   8.9325e+02   3.291e+01    0  27.940    0.86  20.2026 
OBS:  53640.301  g  82S   7.4629e+01   1.779e+01    0  28.460    1.63  22.4676 
OBS:  53640.301  r  82S   4.7831e+02   2.560e+01    0  28.170    1.36  20.7871 
OBS:  53640.301  i  82S   7.1239e+02   3.943e+01    0  27.910    1.40  20.3435 
OBS:  53655.273  g  82S   2.4575e+01   2.819e+01    0  28.570    1.72  23.1815 
OBS:  53655.273  r  82S   2.0758e+02   3.602e+01    0  28.260    1.61  21.5765 
OBS:  53655.273  i  82S   4.1683e+02   4.679e+01    0  27.980    1.51  21.2802 
OBS:  53664.301  g  82S   8.0584e+01   3.064e+01    0  28.550    1.40  23.4315 
OBS:  53664.301  r  82S   1.7790e+02   3.499e+01    0  28.250    1.12  21.8605 
OBS:  53664.301  i  82S   1.8793e+02   3.939e+01    0  27.960    1.05  21.7413 
OBS:  53669.258  g  82S   4.8905e+01   1.258e+01    0  28.550    1.01  23.5337 
OBS:  53669.258  r  82S   1.3896e+02   2.024e+01    0  28.250    0.87  21.9982 
OBS:  53669.258  i  82S   1.5948e+02   2.875e+01    0  27.970    0.75  21.8816 
OBS:  53671.344  g  82S   2.6724e+01   1.903e+01    0  28.270    1.48  23.5762 
OBS:  53671.344  r  82S   1.9678e+02   2.745e+01    0  28.120    1.29  22.0561 
OBS:  53671.344  i  82S   1.7215e+02   3.806e+01    0  27.840    1.12  21.9409 
OBS:  53674.242  g  82S   4.7014e+01   1.408e+01    0  28.530    1.28  23.6348 
OBS:  53674.242  r  82S   1.3773e+02   2.332e+01    0  28.240    1.29  22.1366 
OBS:  53674.242  i  82S   1.8649e+02   3.162e+01    0  27.960    1.04  22.0234 
OBS:  53676.332  g  82S   2.5135e+01   1.300e+01    0  28.480    0.96  23.6763 
OBS:  53676.332  r  82S   1.0487e+02   2.040e+01    0  28.220    0.84  22.1937 
