SURVEY: SDSS   
SNID:   50955   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      56.121834  deg 
DECL:    -0.980763  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0990    MW E(B-V) 
MWEBV_ERR:   0.0158    error on MWEBV 
REDSHIFT_HELIO:   0.056836 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.056355 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53649.555 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  687  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.05677  
SIM_REDSHIFT_CMB:    0.05628  
SIM_REDSHIFT_HOST:   0.05677  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      37.0024  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        56.121834 deg  
SIM_DECL:      -0.980763 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0986   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   19.83  18.86  18.75  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53650.203125  days 
SIM_SALT2x0:   1.5813e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -13.98   days 
SIM_TRESTMAX:    51.25   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.930330 
SIMSED_param(color):  0.475412 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 57 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53635.434  g  82N   1.4929e+01   3.170e+01    0  28.690    1.00  99.0000 
OBS:  53635.434  r  82N  -2.1091e+00   3.096e+01    0  28.250    0.88  99.0000 
OBS:  53635.434  i  82N  -3.3033e+01   3.782e+01    0  27.900    0.86  99.0000 
OBS:  53639.473  g  82N   1.0532e+02   1.956e+01    0  28.680    1.16  22.5354 
OBS:  53639.473  r  82N   2.3207e+02   2.277e+01    0  28.250    1.05  21.7527 
OBS:  53639.473  i  82N   2.0740e+02   3.376e+01    0  27.890    1.02  21.6368 
OBS:  53644.422  g  82N   7.0429e+02   1.793e+01    0  28.690    1.03  20.3680 
OBS:  53644.422  r  82N   1.4360e+03   2.317e+01    0  28.260    0.97  19.5908 
OBS:  53644.422  i  82N   1.7254e+03   3.408e+01    0  27.910    0.89  19.4712 
OBS:  53657.430  g  82N   6.2376e+02   2.317e+01    0  28.670    1.69  20.5498 
OBS:  53657.430  r  82N   2.5333e+03   2.994e+01    0  28.250    1.48  18.9845 
OBS:  53657.430  i  82N   2.9330e+03   4.569e+01    0  27.900    1.41  18.8266 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53657.4300 
OBS:  53663.418  g  82N   2.9231e+02   4.043e+01    0  28.700    1.18  21.2630 
OBS:  53663.418  r  82N   1.6059e+03   4.110e+01    0  28.280    1.18  19.5061 
OBS:  53663.418  i  82N   2.2690e+03   4.454e+01    0  27.930    0.94  19.1725 
OBS:  53665.395  g  82N   2.8697e+02   3.461e+01    0  28.670    1.46  21.3984 
OBS:  53665.395  r  82N   1.4605e+03   3.881e+01    0  28.250    1.13  19.6538 
OBS:  53665.395  i  82N   1.8012e+03   6.003e+01    0  27.840    1.29  19.3142 
OBS:  53668.406  g  82N   2.1599e+02   3.035e+01    0  28.700    1.94  21.6087 
OBS:  53668.406  r  82N   1.0884e+03   3.080e+01    0  28.270    1.56  19.8806 
OBS:  53668.406  i  82N   1.5139e+03   4.608e+01    0  27.930    1.51  19.5363 
OBS:  53669.492  g  82N   2.2245e+02   2.765e+01    0  28.530    1.49  21.6832 
OBS:  53669.492  r  82N   1.0285e+03   2.994e+01    0  28.170    1.18  19.9616 
OBS:  53669.492  i  82N   1.4064e+03   4.329e+01    0  27.850    1.05  19.6141 
OBS:  53670.410  g  82N   2.1672e+02   3.021e+01    0  28.600    1.96  21.7470 
OBS:  53670.410  r  82N   9.3503e+02   3.797e+01    0  27.960    1.57  20.0309 
OBS:  53670.410  i  82N   1.3210e+03   5.590e+01    0  27.740    1.53  19.6807 
OBS:  53673.379  g  82N   1.5478e+02   1.610e+01    0  28.680    1.02  21.9559 
OBS:  53673.379  r  82N   7.7527e+02   2.243e+01    0  28.250    0.93  20.2524 
OBS:  53673.379  i  82N   1.0624e+03   3.493e+01    0  27.910    0.96  19.8942 
OBS:  53675.375  g  82N   1.3613e+02   1.715e+01    0  28.690    1.17  22.0893 
OBS:  53675.375  r  82N   7.0579e+02   2.336e+01    0  28.260    1.01  20.3988 
OBS:  53675.375  i  82N   9.8918e+02   3.612e+01    0  27.920    0.99  20.0431 
OBS:  53676.496  g  82N   1.5057e+02   1.066e+02    0  26.810    1.46  22.1686 
OBS:  53676.496  r  82N   5.1150e+02   1.646e+02    0  26.170    1.08  20.4766 
OBS:  53676.496  i  82N   1.0148e+03   2.418e+02    0  25.890    1.33  20.1290 
OBS:  53680.383  g  82N   1.0335e+02   1.868e+01    0  28.680    1.39  22.3771 
OBS:  53680.383  r  82N   5.3646e+02   2.333e+01    0  28.250    1.07  20.7062 
OBS:  53680.383  i  82N   6.8783e+02   3.433e+01    0  27.910    0.94  20.3847 
OBS:  53683.441  g  82N   1.0158e+02   1.786e+01    0  28.620    1.04  22.4867 
OBS:  53683.441  r  82N   4.7389e+02   2.589e+01    0  28.220    0.94  20.8443 
OBS:  53683.441  i  82N   5.7170e+02   3.654e+01    0  27.890    0.86  20.5674 
OBS:  53686.383  g  82N   5.7460e+01   3.458e+01    0  28.670    1.56  22.5691 
OBS:  53686.383  r  82N   4.6814e+02   3.248e+01    0  28.250    1.31  20.9672 
OBS:  53686.383  i  82N   5.0128e+02   4.110e+01    0  27.900    1.17  20.7210 
OBS:  53687.441  g  82N   9.3975e+01   6.636e+01    0  28.600    1.83  22.5907 
OBS:  53687.441  r  82N   3.3103e+02   9.172e+01    0  28.210    2.06  21.0103 
OBS:  53687.441  i  82N   4.9929e+02   1.262e+02    0  27.880    2.43  20.7831 
OBS:  53693.383  g  82N   2.9451e+01   4.574e+01    0  28.650    1.56  22.7563 
OBS:  53693.383  r  82N   2.7085e+02   4.481e+01    0  28.240    1.50  21.2278 
OBS:  53693.383  i  82N   3.5112e+02   5.275e+01    0  27.900    1.45  21.1138 
OBS:  53699.406  g  82N   2.0505e+01   2.401e+01    0  28.490    1.39  22.9066 
OBS:  53699.406  r  82N   2.8017e+02   2.435e+01    0  28.170    1.10  21.3813 
OBS:  53699.406  i  82N   2.5306e+02   3.484e+01    0  27.820    0.98  21.3289 
OBS:  53704.367  g  82N   5.3911e+01   2.586e+01    0  28.630    1.87  23.0138 
OBS:  53704.367  r  82N   2.7501e+02   3.160e+01    0  28.230    1.88  21.5233 
OBS:  53704.367  i  82N   2.2325e+02   5.225e+01    0  27.900    1.79  21.4722 
END_PHOTOMETRY: 
