SURVEY: SDSS   
SNID:   50971   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: gri 
RA:      4.202521  deg 
DECL:    1.158007  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0280    MW E(B-V) 
MWEBV_ERR:   0.0045    error on MWEBV 
REDSHIFT_HELIO:   0.141932 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.140584 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53663.949 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91bg 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91bg  
SIM_LIBID:  753  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.14106  
SIM_REDSHIFT_CMB:    0.13971  
SIM_REDSHIFT_HOST:   0.14106  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.1001  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        4.202521 deg  
SIM_DECL:      1.158007 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0280   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000  (gri F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.10  20.87  20.54  (gri obs)
SIM_EXPOSURE:     1.0    1.0    1.0  (gri obs)
SIM_PEAKMJD:   53665.070312  days 
SIM_SALT2x0:   2.2906e-16   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2195  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -18.22   days 
SIM_TRESTMAX:    34.31   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.005823 
SIMSED_param(color):  0.569779 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 42 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53644.277  g  82N   6.2640e-01   1.684e+01    0  28.520    1.68  99.0000 
OBS:  53644.277  r  82N  -1.9890e+01   2.587e+01    0  28.200    1.70  99.0000 
OBS:  53644.277  i  82N   6.6728e+01   3.954e+01    0  27.920    1.72  99.0000 
OBS:  53654.312  g  82N   2.4485e+01   1.371e+01    0  28.510    1.06  24.3198 
OBS:  53654.312  r  82N   3.2201e+01   2.285e+01    0  28.210    1.23  23.3391 
OBS:  53654.312  i  82N   1.0543e+02   3.584e+01    0  27.910    1.24  23.0377 
OBS:  53663.273  g  82N   1.8632e+02   2.556e+01    0  28.550    0.99  22.1162 
OBS:  53663.273  r  82N   4.2250e+02   2.845e+01    0  28.230    1.05  20.9902 
OBS:  53663.273  i  82N   5.2591e+02   3.728e+01    0  27.930    1.06  20.6702 
OBS:  53666.344  g  82N   9.4596e+01   2.569e+01    0  28.460    1.41  22.1429 
OBS:  53666.344  r  82N   4.3681e+02   2.910e+01    0  28.190    1.29  20.8355 
OBS:  53666.344  i  82N   6.4189e+02   4.131e+01    0  27.890    1.34  20.4898 
OBS:  53668.262  g  82N   1.3000e+02   2.146e+01    0  28.540    1.90  22.2763 
OBS:  53668.262  r  82N   4.6740e+02   3.214e+01    0  28.220    1.85  20.8247 
OBS:  53668.262  i  82N   6.4213e+02   5.089e+01    0  27.930    1.82  20.4597 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53668.2620 
OBS:  53670.266  g  82N   1.0824e+02   1.518e+01    0  28.510    1.47  22.5241 
OBS:  53670.266  r  82N   4.1453e+02   2.486e+01    0  28.200    1.42  20.8948 
OBS:  53670.266  i  82N   6.9036e+02   3.935e+01    0  27.910    1.41  20.4938 
OBS:  53673.234  g  82N   4.8150e+01   1.311e+01    0  28.530    1.12  23.0178 
OBS:  53673.234  r  82N   3.2611e+02   2.318e+01    0  28.210    1.30  21.1267 
OBS:  53673.234  i  82N   5.4057e+02   3.440e+01    0  27.920    1.19  20.6332 
OBS:  53675.230  g  82N   1.9370e+01   1.458e+01    0  28.540    1.47  23.3537 
OBS:  53675.230  r  82N   2.3624e+02   3.074e+01    0  28.210    1.71  21.3221 
OBS:  53675.230  i  82N   5.0027e+02   4.227e+01    0  27.920    1.50  20.7529 
OBS:  53677.254  g  82N   2.5982e+01   1.367e+01    0  28.340    1.05  23.5817 
OBS:  53677.254  r  82N   2.1053e+02   2.183e+01    0  28.160    1.16  21.5036 
OBS:  53677.254  i  82N   3.6338e+02   3.300e+01    0  27.890    1.13  20.8878 
OBS:  53680.238  g  82N   1.4755e+01   1.430e+01    0  28.510    1.42  23.7672 
OBS:  53680.238  r  82N   2.4258e+02   2.447e+01    0  28.190    1.40  21.7055 
OBS:  53680.238  i  82N   3.2114e+02   3.520e+01    0  27.920    1.34  21.0946 
OBS:  53693.242  g  82N   4.4607e+01   2.875e+01    0  28.490    1.16  24.5858 
