cid,class,num_points_sdssu,num_points_sdssg,num_points_sdssr,num_points_sdssi,num_points_sdssz,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
679,Unknown,20,21,21,21,21,0,0.124957,53600.60523957487,5.599269773001983e-06,-0.8074367909209926,0.9701778389489226,nan,3.8477898931887466,2.7497693392525295e-06,0.9580226077208949,0.3076771246718622,139.346041050777,79,Minimization exited successfully.
682,Unknown,35,37,39,37,39,0,0.048551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
685,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
688,Unknown,20,20,21,21,20,0,0.067866,53600.8674299988,1.4056747218599467e-05,1.3346983121425267,0.5804770260828555,nan,0.003025130950845778,2.9057203165004525e-06,0.8370343813001686,0.1358019451922719,160.90721694377893,78,Minimization exited successfully.
691,Unknown,21,21,21,21,21,0,0.130903,53602.570881226224,6.496057424094382e-05,-0.11548853730803688,-0.003990779754701907,nan,1.5696158145910886,7.318174946623511e-06,0.3629179454072578,0.0593283236045678,341.860135679922,80,Minimization exited successfully.
694,Unknown,35,37,38,38,38,0,0.127493,53623.77216146062,4.504195124901735e-05,0.8525009696882381,0.33541832755726647,nan,6.076528734411113e-05,5.847310908768368e-07,0.14318704480817337,0.011602271088007623,1015.5583713366084,144,Covariance may not be accurate.
696,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
697,Unknown,41,42,42,42,41,0,0.156675,53606.74833320914,1.3420437530566941e-05,0.8901146821469089,0.5734403416751044,nan,2.4963611553102965,2.603343542257324e-06,0.5814897515112013,0.10297605231398411,488.0811086260194,163,Minimization exited successfully.
701,Unknown,21,22,22,22,22,0,0.20657,53607.8525340925,2.6100774639394575e-05,-1.5617666570597664,0.09193174543211766,nan,0.00014417607599170879,2.12806817372638e-06,0.5100197026534296,0.060221969108694415,119.39889908407287,83,Covariance may not be accurate.
703,zSNIa,20,22,22,22,22,0,0.298042,53626.537638665584,1.313527839181647e-05,0.624903505556212,0.035025410977721945,nan,0.6043930548985372,6.03121072391653e-07,0.5981203647495589,0.03781555481660669,97.54570975395427,104,Minimization exited successfully.
