cid,class,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
679,Unknown,0,0.124957,53577.937780437685,2.3076641006466074e-09,nan,2.6092614663975837,3.096203294827206e-10,81.0711820838624,61,Minimization exited successfully.
680,Variable,1,0.4207305742414578,53653.189431218794,4.026707806486734e-10,0.03563565310865954,1.2771337284611946,2.052669823467127e-11,487.0015314492161,117,Minimization exited successfully.
682,Unknown,0,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
685,pSNII,1,0.4327794419388464,53612.43046172368,8.494970082317662e-10,0.05500461128468212,0.6392858011568023,4.17720818957076e-11,580.2893571290888,63,Minimization exited successfully.
688,Unknown,0,0.067866,53604.36892916294,1.181705767654976e-09,nan,0.6324588627721823,6.038609688362094e-11,95.55429279550134,60,Minimization exited successfully.
689,Variable,1,0.4148265416981026,53657.528133012886,1.0837011258738154e-09,0.011025758145820574,0.81397009792272,3.5051625359141665e-11,780.5455481943461,58,Minimization exited successfully.
691,Unknown,0,0.130903,53600.5053474874,2.5560586869934364e-09,nan,0.4789099020854337,8.091483432741667e-11,215.462402513215,61,Minimization exited successfully.
692,Variable,0,0.197275,53631.48137779124,1.7465648262378744e-09,nan,0.3025909160678566,4.834568153473064e-11,948.7427631988388,62,Minimization exited successfully.
694,Unknown,0,0.127493,53610.8820259434,3.93730298929566e-09,nan,0.15916733536141692,3.3266244945455344e-11,1572.5481166277145,112,Minimization exited successfully.
695,Variable,0,0.058267,53704.143933090796,-1.3913350996110507e-07,nan,0.35508316301275045,7.985486693409672e-07,729.1393167804115,60,Minimization exited successfully.
696,pSNIa,1,0.14531041278864185,53605.76916480877,1.0581730002027343e-09,0.018942955956540025,0.9060881941913976,4.0884335727376373e-11,56.711856096688436,57,Minimization exited successfully.
697,Unknown,0,0.156675,53576.17400184553,4.6497884476315055e-09,nan,2.1107566678147123,4.0620291153785836e-10,219.43854267258882,123,Minimization exited successfully.
698,Variable,1,0.43276374085984504,53643.16885779835,8.68312761972235e-10,0.01910978232912583,0.587464669610199,3.676527253372977e-11,762.412132511364,61,Minimization exited successfully.
699,Variable,1,0.44212362874505057,53627.33292325296,9.212385668733418e-10,0.011686792844036453,0.5512742042265018,3.5704304629103885e-11,886.3513436545967,126,Minimization exited successfully.
700,AGN,0,0.595712,53608.986133488805,1.0813022612941232e-09,nan,0.7780767829717661,4.3651672245028696e-11,673.6326328103391,63,Minimization exited successfully.
701,Unknown,0,0.20657,53601.651981715055,1.2404678356962075e-09,nan,0.7262765810046403,6.207209071964946e-11,84.92797023973016,64,Minimization exited successfully.
702,AGN,0,0.578379,53652.30945970474,8.358632446292986e-10,nan,0.8845796561436146,3.283285803764024e-11,985.1958568382089,64,Minimization exited successfully.
703,zSNIa,0,0.298042,53608.65866366252,1.0358143295937524e-09,nan,0.6206049047686975,3.964823155522612e-11,126.53175266249316,64,Minimization exited successfully.
704,Unknown,0,0.206416,53601.29545160854,1.0166723391589336e-09,nan,0.7719594023365062,4.63043266283703e-11,89.62878880564409,63,Minimization exited successfully.
706,pSNII,1,0.41218303287556946,53600.8544657856,1.0829837886406848e-09,0.0134382018086939,0.8588395210463204,5.3719700328852895e-11,395.61073732811747,57,Minimization exited successfully.
708,AGN,0,0.21436,53631.164662207055,6.537324278752207e-09,nan,0.21663429623367847,5.5429145207806647e-11,11496.025908587368,64,Minimization exited successfully.
709,Variable,1,0.1992053657449017,53516.06493323895,1.4793937312132815e-08,0.016946351494925183,4.126253976020962,9.174913856775999e-10,72.10854927984249,62,Minimization exited successfully.
710,Variable,0,0.636901,53625.53553083213,9.291729298525532e-10,nan,1.0386052063622628,5.7279007372758096e-11,386.6031469198463,64,Minimization exited successfully.
711,Unknown,0,1.11398,53613.33401424143,1.1507715501147684e-09,nan,1.2985507085904828,1.1143599919906077e-10,381.1039628277939,58,Minimization exited successfully.
712,Variable,1,0.43260724861592487,53644.57823281451,2.221905955642399e-09,0.00735939806744515,0.368947888193361,4.217078743820785e-11,4014.472223210722,59,Minimization exited successfully.
714,pSNII,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
716,zSNII,0,0.324,53615.06788058404,3.0782053384945555e-09,nan,0.18664870313659776,3.012313731877848e-11,7206.25057872292,120,Minimization exited successfully.
717,Unknown,0,0.130392,53601.990857396944,1.1078293155493673e-09,nan,0.9200704485592723,5.963864355443412e-11,90.44716607350912,58,Minimization exited successfully.
718,Variable,0,0.161636,53631.36638183764,1.2303083936093703e-09,nan,0.3945253918209346,5.2104398371527996e-11,548.2773327845787,58,Minimization exited successfully.
719,AGN,0,0.485763,53642.73422339188,6.320868984333886e-10,nan,0.8814284958207281,4.2242771139210656e-11,341.27171497741864,58,Minimization exited successfully.
720,Variable,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
722,SNIa,0,0.086341,53566.74731034219,4.448229959654485e-08,nan,0.5711679790292692,7.801921121981916e-10,868.777612678351,61,Minimization exited successfully.
724,Variable,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
728,Variable,0,0.101256,53594.396874096245,4.4096555239341666e-10,nan,7.247338181165105,2.2078858968480737e-10,340.38433467545127,61,Minimization exited successfully.
730,AGN,0,0.308315,53682.7045973854,4.958512575155411e-09,nan,0.14347824909418705,6.326092815505063e-11,10317.687649158983,61,Minimization exited successfully.
734,AGN,0,0.372361,53680.629784576675,1.3998640096931586e-09,nan,0.799698508290021,4.588384515620381e-11,3516.082124697146,60,Minimization exited successfully.
735,zSNIa,0,0.190858,53600.915258493835,1.2076017023847162e-09,nan,0.9196158304839628,6.435277786360284e-11,57.329155955003294,59,Minimization exited successfully.
736,Variable,1,0.41307812944204103,53682.16368885455,1.1655731037895436e-09,0.01339227737101209,0.45708800382271875,4.434297354353553e-11,3302.543596781393,58,Minimization exited successfully.
739,SNIa,0,0.107638,53601.931570713794,5.08555384609636e-09,nan,0.21127951842936454,6.64000748760497e-11,631.2326200199689,58,Minimization exited successfully.
740,Variable,1,0.43886585885513774,53614.48615071198,4.817275355838279e-10,0.021505431265298997,1.4061389715388941,3.46038038495886e-11,202.13475781281045,57,Minimization exited successfully.
741,Variable,1,0.435970157852479,53613.05115684253,6.95378936673903e-10,0.017026366223144324,1.107959358872904,3.735304341153988e-11,205.93980602109542,57,Minimization exited successfully.
742,Variable,0,0.193795,53600.644093527364,1.2024611762140701e-09,nan,1.005929236082011,6.882009816409648e-11,161.37817557632255,61,Minimization exited successfully.
744,SNIa,0,0.128251,53602.2964668205,4.152044847449513e-09,nan,0.23408291910163825,5.661120645958538e-11,817.7964400040391,61,Minimization exited successfully.
746,Unknown,1,0.4322726463049533,53600.31345661112,1.1312443822266182e-09,0.011184114773271303,0.76876986973366,5.2394200820538586e-11,335.8632075100887,60,Minimization exited successfully.
747,Unknown,1,0.19398022914349808,53600.02924905924,8.128763321352659e-10,0.02260126826025738,1.0719612334942212,5.4296896234295685e-11,49.830395617442036,60,Minimization exited successfully.
748,Variable,1,0.1467619836819592,53647.012651577745,7.949196318444249e-10,0.018647332730716906,0.7406588134326739,3.655388267762411e-11,501.43571872703046,64,Minimization exited successfully.
750,Unknown,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
752,Variable,0,0.41656,53656.94296112764,6.466077822068623e-10,nan,0.8355880655399233,3.143958187125181e-11,482.86146470156365,64,Minimization exited successfully.
757,Variable,1,0.43728136023053027,53600.8169067237,7.425408747280203e-10,0.02363895088766299,1.110012372409983,5.265773888652595e-11,199.26049419536005,57,Minimization exited successfully.
760,Variable,1,0.42823748468994394,53612.94409972928,3.20955788753507e-10,0.04119875712860621,1.4847947237103654,2.800081873021445e-11,266.5109538019443,120,Minimization exited successfully.
761,Variable,1,0.44147728956796817,53628.308777756414,6.850412017740354e-10,0.019112351773139163,0.7812313876092958,4.355456403487674e-11,280.1431422723303,63,Minimization exited successfully.
762,SNIa,0,0.191381,53607.28211041258,2.313572118073611e-09,nan,0.26069993160126614,4.223142512509041e-11,343.04861419679264,58,Minimization exited successfully.
763,Unknown,1,0.4091579986963668,53600.14132726538,8.91876153119713e-10,0.024873019714175937,0.9615131721693615,5.2095419662691145e-11,74.94061689353,57,Minimization exited successfully.
764,zSNII,0,0.187068,53614.42842025252,6.468543997628395e-10,nan,1.7609334332446451,3.9325467954842e-11,231.47699013030842,61,Minimization exited successfully.
765,zSNII,0,0.261047,53614.52396645974,6.442229875765697e-10,nan,0.9963309364175075,3.859921059491879e-11,234.2225639323824,70,Minimization exited successfully.
766,pSNII,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
767,Variable,1,0.41840398892950226,53656.08487332989,7.732588850443422e-10,0.016369435042737995,0.5715693282909342,2.5216259633924222e-11,870.5569285155741,69,Minimization exited successfully.
768,AGN,0,0.054354,53607.22772449786,6.414880401268435e-08,nan,0.042713804126833566,2.1701475628349337e-10,83652.98004429764,61,Minimization exited successfully.
769,Variable,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
770,Unknown,0,0.042391,53606.215152011806,1.4787210831919825e-09,nan,0.8012513190587924,6.432834234025883e-11,556.198719400675,70,Minimization exited successfully.
771,Variable,1,0.429435440232599,53631.885931940174,1.0364370927945036e-09,0.012910547205055412,0.43614045431968407,4.780122970618851e-11,561.1869197833679,68,Minimization exited successfully.
772,zSNII,0,0.210315,53603.217662317984,9.78365940292402e-10,nan,0.8775049671094166,4.9353565831556675e-11,167.65454265573595,69,Minimization exited successfully.
773,pSNIa,1,0.4098131691239551,53602.230657399006,1.7130482662965088e-09,0.011641636407376005,0.4022364598386048,4.6975756651447734e-11,335.9833810122425,63,Minimization exited successfully.
774,SNIa,0,0.093331,53603.9416303284,8.063053449050852e-09,nan,0.17543129012847203,9.044941468318678e-11,1898.8263391205833,67,Minimization exited successfully.
775,Variable,1,0.4178999266941366,53653.265893974836,3.879455306624401e-10,0.033770418086392806,1.30913565479932,2.5006661240550227e-11,249.68803954480975,72,Minimization exited successfully.
779,zSNIa,0,0.238121,53612.11443592945,1.4125758548519365e-09,nan,0.8298196959331108,4.603861441348931e-11,271.91611722255345,66,Minimization exited successfully.
780,Variable,1,0.43269803353425446,53631.012068466116,1.0885801124273237e-09,0.012699799639231846,0.39144872251927154,5.0082227970930343e-11,586.7601572365057,72,Minimization exited successfully.
781,Variable,1,0.4132377187156577,53605.93370021953,7.65329488315562e-10,0.01870014260814934,0.8662742910528323,4.192688409257757e-11,311.80827454687574,72,Minimization exited successfully.
782,Unknown,0,0.13216,53633.39728722999,2.4711251257819343e-09,nan,0.18961895113170613,5.5067867430290094e-11,1712.7676079884347,69,Minimization exited successfully.
783,Variable,1,0.43509524761905494,53612.70821385913,9.677696537187048e-10,0.01783589986012435,0.5655926598774386,3.8382487920345624e-11,817.5538838535915,63,Minimization exited successfully.
785,AGN,0,0.027865,53635.21117690539,2.0502376486239964e-09,nan,0.22723766665512812,5.855136339911034e-11,747.5318810031686,67,Minimization exited successfully.
789,pSNII,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
