cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
679,Unknown,20,21,0,0.124957,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
682,Unknown,35,37,0,0.048551,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
685,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
688,Unknown,20,20,0,0.067866,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
691,Unknown,21,21,0,0.130903,53594.15138324945,6.110639457369279e-09,nan,1.3634965734490834,5.730640627537283e-10,38.20115764175972,40,Minimization exited successfully.
694,Unknown,35,37,0,0.127493,53612.35004181483,4.846066034243323e-09,nan,0.2500489581034344,6.849292149227292e-11,280.83686195265983,70,Minimization exited successfully.
696,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
697,Unknown,41,42,0,0.156675,53606.99142246177,7.939134514527882e-10,nan,0.5690561506744416,3.462815291115247e-11,247.30018989335133,123,Minimization exited successfully.
701,Unknown,21,22,0,0.20657,53598.57276205661,1.75520481038273e-09,nan,0.8079088345220953,1.0763038112444749e-10,52.54012261094181,63,Minimization exited successfully.
703,zSNIa,20,22,0,0.298042,53608.20961522945,1.3872551302530427e-09,nan,0.6101425581873627,5.316753900678923e-11,143.34825815743022,62,Minimization exited successfully.
704,Unknown,22,22,0,0.206416,53599.31517039896,1.1535936298532993e-09,nan,0.886081351149187,7.206208346147405e-11,68.34400753848874,63,Minimization exited successfully.
706,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
711,Unknown,0,0,0,1.11398,53613.33401424143,1.1507715501147684e-09,nan,1.2985507085904828,1.1143599919906077e-10,381.1039628277939,58,Minimization exited successfully.
714,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
716,zSNII,40,42,0,0.324,53552.60947971329,5.2384863018004454e-08,nan,0.47257660755713005,5.718537659819875e-10,3426.9060608397035,121,Minimization exited successfully.
717,Unknown,20,20,0,0.130392,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
722,SNIa,21,21,0,0.086341,53603.87789285557,1.4277139552037126e-08,nan,0.26873389128013514,4.429024573263555e-10,151.67842464243796,40,Minimization exited successfully.
735,zSNIa,20,21,0,0.190858,53601.528937394956,1.3727633669597184e-09,nan,0.6594270272435097,6.887817420876577e-11,67.93306115049629,59,Minimization exited successfully.
739,SNIa,20,20,0,0.107638,53602.28870032557,7.629127050497284e-09,nan,0.2906111171723751,1.7186326606295426e-10,66.38729870173361,38,Minimization exited successfully.
744,SNIa,21,20,0,0.128251,53603.998552371304,6.528773345400705e-09,nan,0.4535742741863942,2.8639118414104406e-10,113.164565164956,39,Minimization exited successfully.
746,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
747,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
750,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
