cid,class,num_points_sdssu,num_points_sdssg,num_points_sdssr,num_points_sdssi,num_points_sdssz,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
679,Unknown,19,19,21,20,20,0,0.123663,53572.0013558255,2.4050879527232556e-06,73.42230758658444,0.5717390247683173,nan,0.0016659743123454973,2.1372213929256238e-06,70.81970805342061,0.26333519687122897,173.59451766340322,75,Covariance may not be accurate.
682,Unknown,32,33,37,35,36,0,0.047317,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
688,Unknown,20,19,20,20,19,0,0.066563,53600.30703062612,1.540883001624447e-05,1.0134144515966315,0.5480804650659546,nan,3.4841122617581277,5.57723078119969e-06,0.8199915661358437,0.2035091831451928,168.12346095219795,75,Minimization exited successfully.
691,Unknown,18,19,20,21,19,0,0.129587,53602.38097297953,6.44164166437331e-05,-0.06627980229378946,0.006995701284395895,nan,1.657397124254203,7.5845769696325955e-06,0.3641864149918955,0.06131701152575509,318.78186354512655,74,Minimization exited successfully.
694,Unknown,31,34,34,36,35,0,0.126178,53624.8813703589,4.409427237482916e-05,0.6457243384795722,0.34451160114455975,nan,1.3280441635288298e-07,7.425253099350227e-07,0.17943529516658868,0.014452147650689699,795.4100740567369,131,Covariance may not be accurate.
697,Unknown,41,41,38,40,40,0,0.155294,53608.41398596117,1.287722997366316e-05,0.5704881364110312,0.5918998962943792,nan,0.005476919974171324,1.2122628804740425e-06,0.5850711039320772,0.0668950651348809,454.3196690028474,156,Minimization exited successfully.
701,Unknown,21,21,20,20,21,0,0.205128,53609.93375781521,2.2536505087223062e-05,-1.8943227580713873,0.19648817009381656,nan,0.003996833296696423,1.6343096259490418e-06,0.4823740755329052,0.057563160990314687,105.70225532116604,78,Covariance may not be accurate.
703,zSNIa,19,20,20,21,20,0,0.296481,53626.53011363958,1.3052086233346913e-05,0.6716023384743636,0.03826685298298065,nan,0.6095121146754536,6.312873831227569e-07,0.617520276475587,0.03808089751428684,82.39569170535826,96,Minimization exited successfully.
704,Unknown,20,20,19,20,20,0,0.204966,53602.95560652547,2.3174237549444307e-05,-0.7336367328339057,0.1485043088315699,nan,0.014057964697713032,2.6175708453475712e-06,0.6200783491614774,0.08071460284758994,125.35028601418898,75,Covariance may not be accurate.
711,Unknown,0,0,19,17,19,0,1.111396,53691.14418385715,3.1734337441222514e-06,5.707259878611787,-0.26074855860206153,nan,2.7949900614221406,6.888950219949923e-07,2.7996304246545956,0.05261594002391355,236.77865205063594,51,Minimization exited successfully.
716,zSNII,33,36,38,39,37,0,0.322376,53640.444897861205,2.9536280821340333e-05,10.203860354169226,-0.005612817623947486,nan,0.14343764617296983,4.5623535396349245e-07,0.2977971451024703,0.0061289991560236025,2715.3474452809487,179,Minimization exited successfully.
717,Unknown,19,20,20,20,20,0,0.12901,53613.789130161,5.189299920919357e-06,0.23950086105784865,1.0931153714285353,nan,7.20929165254347e-05,1.2606146266722817e-06,0.7098890775267088,0.13963535220080886,99.49445762268336,75,Covariance may not be accurate.
722,SNIa,20,19,20,20,20,0,0.085038,53618.98141452248,0.00010176364789903966,-0.4058392236191762,0.17606850967906915,nan,0.0003471416093816515,1.2699773780611043e-06,0.12046174793955321,0.004903633671895886,1533.0792749524667,75,Minimization exited successfully.
735,zSNIa,20,20,20,20,20,0,0.189482,53610.81073190246,2.2832446703532343e-05,-2.629131596260823,0.03585799182282064,nan,0.0018764698215818498,1.4859643610116876e-06,0.4374097449757544,0.06113798439038174,76.2568990205197,76,Covariance may not be accurate.
739,SNIa,20,20,20,20,20,0,0.106421,53612.97506728642,8.63113716489954e-05,-1.4691732383039757,0.07902783616868299,nan,6.666654735454358e-05,1.8894923260827087e-06,0.13911377923672258,0.01718949783488184,704.3908058363672,76,Covariance may not be accurate.
744,SNIa,19,19,20,20,19,0,0.12694,53613.82693565208,6.243675478816092e-05,1.1610235110403488,0.13042032937180031,nan,0.0009477732601226307,1.4568605094219433e-06,0.21083853894173446,0.01772980935761939,618.0750680853893,74,Covariance may not be accurate.
762,SNIa,20,20,20,20,20,0,0.190088,53625.1498251958,3.2725945467609954e-05,1.100063202070013,-0.00573375056859658,nan,0.2631659751277766,6.925972827757418e-07,0.25687514548347723,0.018212337220556308,113.79336463290974,76,Minimization exited successfully.
764,zSNII,18,20,21,21,20,0,0.185808,53620.991278711415,5.8777172131243946e-06,10.075349737376877,0.42964719292082754,nan,0.007488626699341694,5.937759555830091e-07,1.827532875512956,0.06358479209235052,113.01992667569851,76,Minimization exited successfully.
765,zSNII,22,23,24,23,24,0,0.259902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.259902
    t0 = +53581.363224
    x0 = +0.002117
    x1 = +387.004464
     c = -83.925020
"
770,Unknown,0,22,23,22,23,0,0.041464,53619.559561543676,2.9901342237465813e-07,2.1785662226207867,3.063731518765239,nan,1.1281417466052517,1.6213468963509522e-07,0.570971220736921,0.3501436790627415,482.9384244657307,63,Minimization exited successfully.
772,zSNII,21,23,22,24,23,0,0.20925,53612.097326078874,7.868187482258474e-06,5.3802149431019775,0.45464208466404393,nan,1.7041322075820062,1.0021837147263173e-06,1.4643335983854413,0.08762784897056693,217.02685691670027,86,Minimization exited successfully.
774,SNIa,22,22,22,23,23,0,0.092269,53614.803993556736,0.0001258691580007245,-0.49803082386714015,0.10643764762364477,nan,106.20165608579919,7.357529156125825e-07,2.3116968924081465e-05,3.7670303867877777e-05,1512.768642191765,85,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
779,zSNIa,21,23,23,23,21,0,0.236938,53626.90605336799,1.9857043154318426e-05,0.3715982630011208,0.05148360792549806,nan,0.3975006804721488,7.2777519999146e-07,0.36970410917853247,0.03014367932811435,96.97033811828639,107,Minimization exited successfully.
782,Unknown,18,22,22,22,23,0,0.131251,53623.77746425606,1.2269883470191138e-05,8.33785087969965,0.775297562204334,nan,1.8391376215731725e-05,6.009739860315913e-07,0.6388298106498915,0.03323423306181899,1205.2183313124008,80,Covariance may not be accurate.
792,Unknown,20,21,21,21,21,0,0.04282,53592.25906733255,3.6217689058489706e-05,-0.11163727025086491,0.21351694266934457,nan,0.003226769000320928,4.496228469720643e-05,1.0755205059058195,1.0010837886865123,395.90908848001135,79,Covariance may not be accurate.
799,zSNII,19,20,21,21,20,0,0.146407,53605.8904321296,3.038518309925064e-05,0.27389946286661854,-0.6053334000649243,nan,0.000634140676993411,2.028434979810323e-06,0.5330239161766868,0.038324156998393394,107.07112305280583,77,Covariance may not be accurate.
818,Unknown,20,22,22,23,22,0,0.237174,53608.512133077944,1.5198626830805644e-05,-0.7389524836910191,0.14204347581658586,nan,16.25804849580527,0.9799715478854961,1.1843563082291721,1.0010952855165494,107.4222029879596,105,Covariance may not be accurate.
822,zSNIa,13,22,23,23,20,0,0.236635,53621.570954450246,1.7556473317387463e-05,-0.7072850390922265,-0.05721969905345351,nan,0.001267327923414996,6.935099828533833e-07,0.47157628345993996,0.03646020100547843,119.30303725146352,97,Minimization exited successfully.
830,Unknown,22,23,23,21,23,0,0.38623,53679.6897818692,1.6082586160446982e-05,0.619529003245683,-0.37438639545745517,nan,0.32853854057975695,2.9703714039940147e-07,0.07945691781476033,0.00772151337893099,1586.1867449734505,108,Minimization exited successfully.
841,zSNIa,21,22,21,22,22,0,0.298318,53624.925810548506,1.3224479614511705e-05,0.1024542081563091,-0.07604793702461134,nan,0.573801690909022,6.859711813820487e-07,0.6274302431755558,0.03567685612695824,81.01882152453643,104,Minimization exited successfully.
859,zSNIa,17,20,21,19,19,0,0.276728,53624.366408525566,1.6541353158026704e-05,0.40896381125958303,0.04555881229437765,nan,0.626428750994819,5.928529324329554e-07,0.49007826549253175,0.0330990309747711,104.64949969634534,92,Minimization exited successfully.
863,zSNII,18,19,20,20,20,0,0.092949,53625.73454943471,5.795717666061493e-06,5.848124548391579,0.8644337771111834,nan,0.9054871913176612,6.990811121098289e-07,0.7964557432337914,0.08859464400443952,270.9799517513905,73,Minimization exited successfully.
875,Unknown,19,21,21,20,20,0,0.104044,53589.315918679065,4.3146560059712997e-07,3.570310005207817,3.2511761216289954,nan,1.796452144284558,3.8519896253557515e-07,2.279401081265803,0.5056582249220295,1045.5675592032915,77,Minimization exited successfully.
879,Unknown,0,19,19,20,18,0,0.451353,53662.56653653096,1.378630422116529e-05,15.127129731924175,-0.3350407111158089,nan,0.16519332592724822,5.430625323693917e-07,1.0244439978688598,0.008966570757808705,4011.240973457322,72,Minimization exited successfully.
893,zSNIa,21,21,20,21,20,0,0.108834,53620.20228762043,2.1196147918188327e-05,-1.2591581727373375,0.08650347316050645,nan,0.4742740585206775,8.98369535209307e-07,0.4286603939137192,0.04015359261411326,135.04930741107225,79,Minimization exited successfully.
895,Unknown,20,20,20,20,20,0,0.266814,53611.92670895453,9.345153658945993e-06,1.1459304733778046,0.3272709758611889,nan,107.9100835818499,0.16608467858196,0.9999942333884009,1.9217839967645929,134.6284519363047,96,Covariance may not be accurate.
