cid,num_points_91bg_proj_csp_u,num_points_91bg_proj_csp_g,num_points_91bg_proj_csp_r,num_points_91bg_proj_csp_i,num_points_91bg_proj_csp_B,num_points_91bg_proj_csp_V0,num_points_91bg_proj_csp_V1,num_points_91bg_proj_csp_V,num_points_91bg_proj_csp_Y,num_points_91bg_proj_csp_H,num_points_91bg_proj_csp_J,num_points_91bg_proj_csp_Jrc2,num_points_91bg_proj_csp_Ydw,num_points_91bg_proj_csp_Jdw,num_points_91bg_proj_csp_Hdw,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
2004dt,0,0,45,43,0,0,0,0,0,0,0,0,0,0,0,0.0197,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2004ef,0,0,47,47,0,0,0,0,0,5,6,0,0,0,0,0.031,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2004eo,0,0,35,39,0,0,0,0,0,17,16,0,0,0,0,0.0157,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2004ey,0,0,32,32,0,0,0,0,0,14,14,0,0,0,0,0.0158,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2004gc,0,0,28,26,0,0,0,0,0,0,0,0,0,0,0,0.0321,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2004gs,0,0,50,46,0,0,0,0,0,7,15,0,0,0,0,0.0267,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2004gu,0,0,29,28,0,0,0,0,0,0,3,0,0,0,0,0.0459,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005A,0,0,33,33,0,0,0,0,0,15,14,0,0,0,0,0.0191,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005M,0,0,56,55,0,0,0,0,0,20,21,0,0,0,0,0.022,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
2005W,0,0,21,19,0,0,0,0,0,0,0,0,0,0,0,0.0089,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
