cid,num_points_91bg_proj_csp_u,num_points_91bg_proj_csp_g,num_points_91bg_proj_csp_r,num_points_91bg_proj_csp_i,num_points_91bg_proj_csp_B,num_points_91bg_proj_csp_V0,num_points_91bg_proj_csp_V1,num_points_91bg_proj_csp_V,num_points_91bg_proj_csp_Y,num_points_91bg_proj_csp_H,num_points_91bg_proj_csp_J,num_points_91bg_proj_csp_Jrc2,num_points_91bg_proj_csp_Ydw,num_points_91bg_proj_csp_Jdw,num_points_91bg_proj_csp_Hdw,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
2004dt,0,0,45,43,0,0,0,0,0,0,0,0,0,0,0,0.0197,334.34355920257474,9.553186212208514e-07,6.663786046381238,1.0789873890298414,0,0.569161566202979,3.421907148659269e-07,1.4799959863956322,0.2910693512175079,320011141.81553304,84,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2004ef,0,0,47,47,0,0,0,0,0,5,6,0,0,0,0,0.031,321.1466371409191,1.1294797238595912e-07,6.00258362214321,2.595928166859915,0,0.015581486796889976,1.0398728380238141e-09,0.020358330036399596,0.006606128836944456,13085.60969814445,90,Minimization exited successfully.
2004eo,0,0,35,39,0,0,0,0,0,17,16,0,0,0,0,0.0157,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.015700
    t0 = +360.255544
    x0 = +32056225765.710865
    x1 = +1465.641218
     c = +20133.897771
"
2004ey,0,0,32,32,0,0,0,0,0,14,14,0,0,0,0,0.0158,301.81687618701113,8.254968950794607e-07,4.062146488880402,1.0464387378306177,0,89.31276081438293,1.0044144598462987,1.0000009999995,1.0044144688774284,4339.01532467084,60,Covariance may not be accurate.
2004gc,0,0,28,26,0,0,0,0,0,0,0,0,0,0,0,0.0321,360.06593746301803,1.506593263488355e-06,10.599006820205386,0.7076192858900073,0,0.21664054567656876,2.6701271389172664e-07,0.43733416688329885,0.1341961132463167,34015698.50080601,50,Minimization exited successfully.
2004gs,0,0,50,46,0,0,0,0,0,7,15,0,0,0,0,0.0267,367.33541306370137,0.0009869940199715727,342.83914707934497,-6.4530985526596245,0,2.615212508771947e-07,3.227503868013816e-05,12.236042472415186,0.04548961548611159,4161951.6231547203,92,Covariance may not be accurate.
2004gu,0,0,29,28,0,0,0,0,0,0,3,0,0,0,0,0.0459,375.8764102021195,9.64322956232833e-07,9.135058671283275,1.0115927322232545,0,0.4638913664213078,3.8725481029115085e-07,0.6853591901784372,0.31121217632710285,49.91976593928977,53,Minimization exited successfully.
2005A,0,0,33,33,0,0,0,0,0,15,14,0,0,0,0,0.0191,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.019100
    t0 = +326.360277
    x0 = +155619942.368310
    x1 = +25.213314
     c = +284.816486
"
2005M,0,0,56,55,0,0,0,0,0,20,21,0,0,0,0,0.022,471.2624255144309,4.855700489323749e-07,1.8814799556342727,1.4780617105526463,0,0.007211886083467789,9.811456085908628e-10,0.010397940837278628,0.0013753500060606542,259082.87927784823,107,Minimization exited successfully.
2005W,0,0,21,19,0,0,0,0,0,0,0,0,0,0,0,0.0089,394.5772678181602,7.293637316330083e-07,3.8624350021128313,1.332447501131878,0,0.6409606472095675,2.8156549093272716e-07,0.375721500979633,0.2679444337443318,43.803098896759984,36,Minimization exited successfully.
2005ag,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0.0797,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.079700
    t0 = +501.322369
    x0 = +46077716.476854
    x1 = +153.291725
     c = +404.062707
"
2005al,0,0,35,35,0,0,0,0,0,10,10,0,0,0,0,0.0124,521.142616948231,6.189084853383938e-06,-7.514761167407447,0.5228226109990847,0,0.5553684680033371,1.354759104085427e-05,12.124932938858143,1.223293916023226,203233974.9028069,66,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2005am,0,0,21,23,0,0,0,0,0,9,4,0,0,0,0,0.0079,462.35263794792877,4.6742865514498916e-07,7.011088851707718,1.4366498582219298,0,0.3434756151462466,1.27102363084798e-07,0.42994087876087317,0.1948695200767387,35388798.18511099,40,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2005be,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0.035,480.1885105121505,7.599840272493423e-07,7.959318677924738,1.1556438063273977,0,0.8324885958772086,3.989611846506173e-07,1.2723132267454929,0.3961428405102187,8.30479621949664,19,Minimization exited successfully.
2005bg,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0.0231,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.023100
    t0 = +509.240264
    x0 = +117241728855.594299
    x1 = +2740.648507
     c = +192929.279454
"
2005bl,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0.0241,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.024100
    t0 = +475.702697
    x0 = +356293851674.080811
    x1 = -48318.506568
     c = +2640777.772945
"
2005bo,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0.0139,519.9994808466834,5.573888146780606e-06,-9.322361355848344,0.21052383304493769,0,0.680256566490641,1.3777746614115662e-05,13.208339497128234,1.6065687228998096,30183144.936603732,14,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2005el,0,0,22,24,0,0,0,0,0,24,31,0,0,0,0,0.0149,725.8060665404452,7.081380343940684e-07,-4.574489269000189,1.1755011706305785,0,0.014977110817369521,3.152047943224413e-07,3.7082244367388304,0.30461379039696496,225432180.59696412,42,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2005eq,0,0,27,27,0,0,0,0,0,13,19,0,0,0,0,0.029,732.2566913922276,5.635476688041987e-07,3.916589553675529,1.4700893748341841,0,0.014917612124691004,2.0429210121913983e-09,0.013132580777699463,0.002499090778518433,215774.71234404412,50,Minimization exited successfully.
2005gj,0,0,23,23,0,0,0,0,0,0,34,0,0,0,0,0.0616,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.061600
    t0 = +733.456063
    x0 = +116020657.645841
    x1 = +287.020473
     c = +1944.226696
"
2005hc,0,0,23,22,0,0,0,0,0,0,10,0,0,0,0,0.0459,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.045900
    t0 = +655.314050
    x0 = +388193671.866666
    x1 = +28.575975
     c = +696.810646
"
2005hj,0,0,16,16,0,0,0,0,0,0,7,0,0,0,0,0.0574,699.6802527667734,5.309366152552761e-07,6.2756742021884175,1.7165092025119946,0,1.3334014283827855e-06,2.2205593894382377e-09,0.01713678478449802,0.002443049182063823,314960.64339972916,28,Minimization exited successfully.
2005hk,0,0,24,24,0,0,0,0,0,37,40,0,0,0,0,0.013,694.9017707777539,0.009859570126197991,59.11234298292427,-6.821517402876445,0,8.740488510738942e-08,0.00013641385632953614,0.5629642279727233,0.015065489277021171,13633856.17983663,44,Reached call limit.
2005iq,0,0,20,19,0,0,0,0,0,12,12,0,0,0,0,0.034,669.8802706558199,0.0020861288756711636,8.978255800625293,-4.484789800123044,0,2.2050016923458315e-08,0.00017964176246470544,0.31020349473322056,0.0826885130156446,5270135.6076524425,35,Covariance may not be accurate.
2005ir,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0.0763,698.7134922663076,83309181264.20607,6.672062957525219,-22.99079396577314,0,0.926954693145035,68014187329.80681,1.1352658145402703,0.516600686808832,3.845010336736876,9,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2005kc,0,0,12,13,0,0,0,0,0,16,18,0,0,0,0,0.0151,688.4973672369279,3.415832187133125e-07,7.729777859878455,1.6800871418060612,0,1.3482348310153043,1.9921669036821194e-07,0.9534901502006128,0.41724050069472246,20.99654788664813,21,Minimization exited successfully.
2005ke,0,0,36,38,0,0,0,0,0,49,48,0,0,0,0,0.0049,785.4248736613265,4.766642443849355e-07,1.546048727873874,1.8134765099129573,0,0.01999033858578514,3.5528972612880755e-09,0.006899469995408539,0.004323194183561784,115884969.74143632,70,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2005ki,0,0,45,43,0,0,0,0,0,17,21,0,0,0,0,0.0192,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.019200
    t0 = +650.178070
    x0 = +60227513746.487808
    x1 = -16137.643307
     c = +252779.912366
"
2005ku,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0.0454,664.3440723310415,4.147346076812414e-06,-3.8111255728899307,1.6354952153498123,0,0.001575548817697836,7.759194322347554e-07,0.19742515944457986,0.1516612262034667,511133.5473491564,10,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2005lu,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0.032,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.032000
    t0 = +681.796336
    x0 = -135441.444554
    x1 = -6912016.499577
     c = +53738929.604979
"
2005mc,0,0,17,14,0,0,0,0,0,0,0,0,0,0,0,0.0252,737.2024040520588,4.031402696460838e-07,9.760190582831568,1.6200077631349472,0,0.7567936342038593,3.117116844905137e-07,0.9701152677261203,0.569274548026354,35.608715007694485,27,Minimization exited successfully.
2005na,0,0,27,27,0,0,0,0,0,9,5,0,0,0,0,0.0263,842.8318501992992,6.167338226513123e-06,-6.580841417718739,0.4076509795123111,0,0.36154055302813504,1.176338873248165e-05,12.564720983951396,1.428094156845416,127580946.61576195,50,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
