class,cid,num_points_91bg_proj_sdss_u1,num_points_91bg_proj_sdss_u2,num_points_91bg_proj_sdss_u3,num_points_91bg_proj_sdss_u4,num_points_91bg_proj_sdss_u5,num_points_91bg_proj_sdss_u6,num_points_91bg_proj_sdss_g1,num_points_91bg_proj_sdss_g2,num_points_91bg_proj_sdss_g3,num_points_91bg_proj_sdss_g4,num_points_91bg_proj_sdss_g5,num_points_91bg_proj_sdss_g6,num_points_91bg_proj_sdss_r1,num_points_91bg_proj_sdss_r2,num_points_91bg_proj_sdss_r3,num_points_91bg_proj_sdss_r4,num_points_91bg_proj_sdss_r5,num_points_91bg_proj_sdss_r6,num_points_91bg_proj_sdss_i1,num_points_91bg_proj_sdss_i2,num_points_91bg_proj_sdss_i3,num_points_91bg_proj_sdss_i4,num_points_91bg_proj_sdss_i5,num_points_91bg_proj_sdss_i6,num_points_91bg_proj_sdss_z1,num_points_91bg_proj_sdss_z2,num_points_91bg_proj_sdss_z3,num_points_91bg_proj_sdss_z4,num_points_91bg_proj_sdss_z5,num_points_91bg_proj_sdss_z6,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
Unknown,679,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123663,nan,nan,nan,nan,0.123663,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,682,0,0,0,0,13,19,0,0,0,0,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047317,nan,nan,nan,nan,0.047317,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,688,20,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066563,nan,nan,nan,nan,0.066563,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,691,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129587,nan,nan,nan,nan,0.129587,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,692,17,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195811,nan,nan,nan,nan,0.195811,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,694,0,31,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126178,nan,nan,nan,nan,0.126178,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,695,19,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056976,nan,nan,nan,nan,0.056976,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,697,0,41,0,0,0,0,0,41,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155294,nan,nan,nan,nan,0.155294,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,700,0,0,0,0,0,0,0,20,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0.593802,nan,nan,nan,nan,0.593802,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,701,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205128,nan,nan,nan,nan,0.205128,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
