class,cid,num_points_91bg_proj_sdss_u1,num_points_91bg_proj_sdss_u2,num_points_91bg_proj_sdss_u3,num_points_91bg_proj_sdss_u4,num_points_91bg_proj_sdss_u5,num_points_91bg_proj_sdss_u6,num_points_91bg_proj_sdss_g1,num_points_91bg_proj_sdss_g2,num_points_91bg_proj_sdss_g3,num_points_91bg_proj_sdss_g4,num_points_91bg_proj_sdss_g5,num_points_91bg_proj_sdss_g6,num_points_91bg_proj_sdss_r1,num_points_91bg_proj_sdss_r2,num_points_91bg_proj_sdss_r3,num_points_91bg_proj_sdss_r4,num_points_91bg_proj_sdss_r5,num_points_91bg_proj_sdss_r6,num_points_91bg_proj_sdss_i1,num_points_91bg_proj_sdss_i2,num_points_91bg_proj_sdss_i3,num_points_91bg_proj_sdss_i4,num_points_91bg_proj_sdss_i5,num_points_91bg_proj_sdss_i6,num_points_91bg_proj_sdss_z1,num_points_91bg_proj_sdss_z2,num_points_91bg_proj_sdss_z3,num_points_91bg_proj_sdss_z4,num_points_91bg_proj_sdss_z5,num_points_91bg_proj_sdss_z6,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
zSNIa,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,20,0,0.296481,53628.728227653875,1.2356618854735127e-05,2.5934734767123198,0.8238514192681969,2e-05,1.8181445398877258,7.304388607428214e-06,1.278873772844684,0.45275625227243643,21.473979543625745,30,Minimization exited successfully.
SNIa,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0.085038,53614.003110620484,0.0003873284236883352,-0.39080471700243785,0.08527693284526011,3.6e-05,0.0003498880469123833,3.784129132222067e-05,0.19146740509414742,0.07557041310063495,25.51000263634274,18,Minimization exited successfully.
zSNIa,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0.189482,53616.64664117595,0.2997940373101898,-3.850910608764339,-6.092702670501305,4.5e-05,1.8678352832139353,0.3418304317848724,1.2982402080025552,0.8487843790110347,3.2682565074569485,7,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
SNIa,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0.106421,53610.17995012481,0.0002793211471071996,-0.658628941188375,0.003239993362714981,1.8e-05,1.6188263865551562,3.265794060731023e-05,0.2612281285781984,0.07951844716898965,45.736572322111634,12,Minimization exited successfully.
SNIa,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,19,0,0,0.12694,53612.941046029366,0.00018513908127676686,1.2171898786875268,0.09044844060102324,1.4e-05,0.8646713249945606,1.6047990083388685e-05,0.3519659749997201,0.07076644003696488,8.807379940308646,14,Minimization exited successfully.
SNIa,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0.190088,53624.78279148386,9.489746746387151e-05,1.3247503183486167,-0.022369178404428917,2.4e-05,0.8798205391431111,4.790498054020338e-05,0.5864601833914842,0.35213841026230985,7.351272095390063,11,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
SNIa,774,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,0,0,0.092269,53608.72152598787,0.00041341733002231277,0.8703370771713603,0.04966801996641336,3.4e-05,0.00023566544405184686,4.5210499457212245e-05,0.22075832396413705,0.08532730104857945,15.493949880348818,15,Covariance may not be accurate.
zSNIa,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,21,0,0,0,0,0,0.236938,53626.15282803238,6.257787060980129e-05,1.2283716558287014,-0.07736793706113866,2.1e-05,1.2819319360278314,5.8758886639252024e-05,0.797430887702291,0.701265796684767,22.725881138744256,31,Minimization exited successfully.
zSNIa,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,20,0,0,0,0,0,0.236635,53621.59962765151,3.9925530120504705e-05,-3.830696911037806,0.18441934757821082,0.000143,1.3181721744367678,5.575916658816565e-05,0.9022754200435634,1.0175515909518036,21.89157668353925,25,Minimization exited successfully.
zSNIa,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22,0,0,0,0,0,0.298318,53626.030461437775,1.4065536432376451e-05,-0.07981837305467615,0.6795823508178839,0.0005,1.5398675767792156,8.895688168512491e-06,1.2690486099616136,0.49754749101883694,22.59590341207131,30,Minimization exited successfully.
zSNIa,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0.276728,53627.676441428615,6.214852065596547e-05,0.6963293221761669,-0.21386340301261697,1.9e-05,1.8126497958000982,4.2993169914719874e-05,1.0365594331469332,0.5590308132353915,29.69841951222795,28,Minimization exited successfully.
zSNIa,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,21,0,0,0,0,0,20,0,0,0,0.108834,53619.10340203843,3.2693509049420245e-05,-0.8558895488193702,0.5713446826487942,2.6e-05,0.8664095782587538,6.469824763494337e-06,0.7431557324940763,0.15115181603105785,20.874267415278894,19,Minimization exited successfully.
zSNIa,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0.383892,nan,nan,nan,nan,0.383892,nan,nan,nan,nan,nan,nan,No data points with S/N > 5. Initial guessing failed.
zSNIa,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,23,0,0,0,0.206325,53621.11472599105,0.00029280510186356965,-0.7466015273421083,-1.1980314004176624,1.5e-05,1.6665564329232438,0.0007758789656267202,1.217936027052731,1.8808447209765105,21.728153160766844,24,Minimization exited successfully.
zSNIa,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0.390036,nan,nan,nan,nan,0.390036,nan,nan,nan,nan,nan,nan,No data points with S/N > 5. Initial guessing failed.
zSNIa,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,20,0.279009,53619.29382228941,8.68578870801477e-06,2.0515455096880197,0.9792916907820597,2.2e-05,3.2435619776006206,8.42905458057529e-06,2.0197291240340522,0.7538748809462057,13.608642555016374,26,Minimization exited successfully.
zSNIa,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22,0.225039,53624.68480251492,4.9313440903120884e-05,0.4207176030929738,0.2780851364551962,7.7e-05,1.1673846311023226,4.2145859954116086e-05,0.7286162062426503,0.6147693379136557,34.17634713838811,28,Minimization exited successfully.
SNIa,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0.129033,53626.91415544066,670133.2674079393,-2.054900071703995,-14.832801812464453,3.4e-05,0.6410262033059553,509676.22374334343,0.45996320795151113,0.519050672095877,13.114053980809757,10,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
SNIa,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0.256085,53630.728299356524,9.28194560236703e-06,-1.2458775182642814,1.1190349890059315,2.7e-05,1.3876854806148913,7.777375530808815e-06,0.9921511350800625,0.6032772740043888,27.829810550834452,30,Minimization exited successfully.
SNIa,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0.296391,53620.13971824842,0.0001677104435027468,1.9246271855774504,-1.4338937812748977,1.2e-05,5.617058296193136,0.00032218776586258633,2.6778604492529063,1.7121502733209426,10.551789707373157,18,Minimization exited successfully.
zSNIa,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0.410115,nan,nan,nan,nan,0.410115,nan,nan,nan,nan,nan,nan,No data points with S/N > 5. Initial guessing failed.
SNIa,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.380494,nan,nan,nan,nan,0.380494,nan,nan,nan,nan,nan,nan,No data points with S/N > 5. Initial guessing failed.
zSNIa,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,24,0.263798,nan,nan,nan,nan,0.263798,nan,nan,nan,nan,nan,nan,No data points with S/N > 5. Initial guessing failed.
SNIa,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0.088477,53635.42500531651,0.00032030888457759926,-0.42297657245545806,0.12395779178786312,1.5e-05,0.10553253862235579,2.8103331269915706e-05,0.10052473999160559,0.06910443800555861,24.212792179820642,26,Minimization exited successfully.
