time,band,flux,fluxerr,zp,zpsys
53665.14460776703,sdssu,34.28012817543843,5.97519636640478,27.5,ab
53671.09197618809,sdssu,166.94367744314619,12.779738470416094,27.5,ab
53677.03934460914,sdssu,181.6502046413739,13.034383095127867,27.5,ab
53682.986713030194,sdssu,120.11353407504673,10.659496830376057,27.5,ab
53688.93408145125,sdssu,79.07029724072113,8.66270176042455,27.5,ab
53694.88144987229,sdssu,64.77063949180472,7.755040133643295,27.5,ab
53700.82881829335,sdssu,58.51558907628861,7.194659052846192,27.5,ab
53706.7761867144,sdssu,41.592243565400835,6.636511565560146,27.5,ab
53712.72355513545,sdssu,39.80438068209926,6.124204576644908,27.5,ab
53718.67092355651,sdssu,34.72592182084353,5.655276194109577,27.5,ab
53724.61829197756,sdssu,22.1440729622563,5.273983220409424,27.5,ab
53730.56566039861,sdssu,27.46544261195353,4.928466698409645,27.5,ab
53736.51302881967,sdssu,28.292199946741913,4.582527931014436,27.5,ab
53742.46039724072,sdssu,23.44475839022115,4.2532658621040085,27.5,ab
53748.407765661774,sdssu,15.331726930476778,3.954890070419234,27.5,ab
53754.35513408282,sdssu,5.032747106048474,3.6807376997313592,27.5,ab
53760.30250250387,sdssu,8.54023037200835,3.4259973473322787,27.5,ab
53766.24987092493,sdssu,14.267428887751088,3.1891076552600985,27.5,ab
53772.19723934598,sdssu,4.049091449499134,2.9687107531889723,27.5,ab
53778.14460776703,sdssu,5.504747488201021,2.7636431728609434,27.5,ab
53665.14460776703,sdssg,678.4801897015535,25.67925646292166,27.5,ab
53671.09197618809,sdssg,1953.8446053149262,44.57335434248605,27.5,ab
53677.03934460914,sdssg,2225.4729674969985,47.39361885057013,27.5,ab
53682.986713030194,sdssg,1510.6499077927513,39.032774818183704,27.5,ab
53688.93408145125,sdssg,817.588090041967,28.54137937772428,27.5,ab
53694.88144987229,sdssg,456.590530009657,22.324943364835406,27.5,ab
53700.82881829335,sdssg,408.27768856331323,20.284616074611435,27.5,ab
53706.7761867144,sdssg,347.49369546518756,18.538618213648444,27.5,ab
53712.72355513545,sdssg,277.1504938759106,16.972211557446652,27.5,ab
53718.67092355651,sdssg,238.86034986196478,15.665125799895124,27.5,ab
53724.61829197756,sdssg,230.11460591573746,14.877651171595298,27.5,ab
53730.56566039861,sdssg,197.45962285260305,14.056860679431857,27.5,ab
53736.51302881967,sdssg,201.0012994220104,13.878072825162334,27.5,ab
53742.46039724072,sdssg,188.14432018301295,13.341014200810472,27.5,ab
